Data,Hora,Liga,Jogo,Método,Mercado,Lado,Odd_Entrada,Odd_Fav,Expectativa_WR,EV_Estimado,1/0,P/L,Placar,Resultado,Stake_R$,PnL_R$,PnL_u,Stake_Sugerida_R$,Lucro_Green_R$,Risco_Red_R$,mk,kh,ka,lay_real,g
2026-08-22,15:30,TURKEY 1,Fenerbahce x Konyaspor,Lay Draw (Fav <= 1.40),Match Odds (Draw),LAY,6.59,1.27,85.8%,+3.26%,1,0.17262969588550983,,,,,,,,,Lay Draw,fenerbahce,konyaspor,6.6,1
2026-08-22,16:00,BRAZIL 1,Fluminense x Remo,Lay Under 0.5 FT (Fav),Under 0.5 FT,LAY,13.12,1.52,94.3%,+3.18%,1,0.07962046204620463,,,,,,,,,Lay Under 0.5,fluminense,remo,13.5,1
2026-08-22,16:00,ECUADOR 1,Univ Catolica (Ecu) x Manta FC,Lay Draw (Fav <= 1.40),Match Odds (Draw),LAY,6.08,1.3,85.8%,+3.26%,1,0.18996062992125984,,,,,,,,,Lay Draw,univcatolicaecu,mantafc,6.2,1
2026-08-22,16:00,ITALY 3,Pescara x Pesaro,Lay Under 0.5 FT (Fav),Under 0.5 FT,LAY,14.18,1.45,94.3%,+3.18%,1,0.07321699544764795,,,,,,,,,Lay Under 0.5,pescara,pesaro,18.0,1
2026-08-22,16:00,SERBIA 1,OFK Beograd x Zemun,Lay Under 0.5 FT (Fav),Under 0.5 FT,LAY,12.6,1.47,94.3%,+3.18%,1,0.08318965517241379,,,,,,,,,Lay Under 0.5,ofkbeograd,zemun,18.0,1
2026-08-22,16:30,PORTUGAL 1,Sporting Lisbon x Alverca,Lay Draw (Fav <= 1.40),Match Odds (Draw),LAY,8.24,1.23,85.8%,+3.26%,1,0.13328729281767954,,,,,,,,,Lay Draw,sportinglisbon,alverca,8.2,1
2026-08-22,18:30,ECUADOR 1,Tecnico Universitario x Guayaquil City,Lay 0x1 Super Fav,Correct Score (0x1),LAY,14.0,1.9,94.2%,+2.59%,1,0.07423076923076923,,,,,,,,,Lay 0x1,tecnicouniversitario,guayaquilcity,14.0,1
2026-08-22,20:30,USA 1,Inter Miami CF x Toronto FC,Lay Draw (Fav <= 1.40),Match Odds (Draw),LAY,6.59,1.38,85.8%,+3.26%,1,0.17262969588550983,,,,,,,,,Lay Draw,intermiamicf,torontofc,6.6,1
2026-08-22,22:15,COLOMBIA 1,Ind Medellin x Cucuta Deportivo,Lay Draw (Fav <= 1.40),Match Odds (Draw),LAY,6.39,1.27,85.8%,+3.26%,1,0.1790352504638219,,,,,,,,,Lay Draw,indmedellin,cucutadeportivo,6.8,1
2026-08-22,22:30,USA 1,Vancouver Whitecaps x FC Dallas,Lay Draw (Fav <= 1.40),Match Odds (Draw),LAY,5.77,1.4,85.8%,+3.26%,1,0.20230607966457023,,,,,,,,,Lay Draw,vancouverwhitecaps,fcdallas,5.8,1
2026-08-23,08:35,CHINA 1,Shanghai Port FC x Qingdao Hainiu,Lay Draw (Fav <= 1.40),Match Odds (Draw),LAY,6.59,1.35,85.8%,+3.26%,1,0.17262969588550983,,,,,,,,,Lay Draw,shanghaiportfc,qingdaohainiu,6.6,1
