Data,Liga,Home,Away,ID_Evento,Odd_H_Back,Odd_A_Back,Odd_Under25_FT_Back,Odd_Over35_FT_Back,Metodo,Odd_Lay,passa_filtro,kh,ka,Green,Placar,Fonte
2026-08-28,WALES 1,Holywell Town,Caernarfon Town,35974392,12.5,1.24,3.2,2.04,Lay_Draw,8.6,0,holywelltown,caernarfontown,True,3x5,manual_user
2026-08-28,WALES 1,The New Saints,Colwyn Bay,35974415,1.28,11.5,2.64,2.44,Lay_Draw,7.0,0,thenewsaints,colwynbay,True,?,sinais1/0
2026-08-28,ICELAND 2,Fylkir,Grotta,35989819,1.38,7.2,4.5,1.65,Lay_Draw,6.8,0,fylkir,grotta,True,?,sinais1/0
2026-08-28,PORTUGAL 1,Rio Ave,Sporting Lisbon,35971610,11.0,1.36,2.54,2.62,Lay_Draw,5.8,1,rioave,sportinglisbon,True,0x4,manual_user
2026-08-29,ROMANIA 2,Bihor Oradea,CSL Stefanestii de Jos,35973189,1.26,14.0,2.28,2.7,Lay_Draw,7.0,1,bihororadea,cslstefanestiidejos,True,2x0,placar
2026-08-29,JAPAN 1,Nagasaki,FC Tokyo,35969793,6.0,1.62,2.1,3.25,Lay_Home,6.2,1,nagasaki,fctokyo,True,0x1,placar
2026-08-29,JAPAN 2,Tokushima,Oita,35969847,2.38,3.75,1.5,6.4,Lay_Over45,18.0,1,tokushima,oita,True,1x0,placar
2026-08-29,CHINA 1,Chengdu Rongcheng,Liaoning Tieren FC,35973516,1.39,8.0,3.0,2.18,Lay_Draw,6.2,0,chengdurongcheng,liaoningtierenfc,True,2x1,placar
2026-08-29,GERMANY 1,Elversberg,Leverkusen,35785197,5.7,1.63,2.88,2.32,Lay_Home,5.8,1,elversberg,leverkusen,True,1x2,placar
2026-08-29,CZECH 1,Arsenal CL,FC Sellier,35986306,1.5,1.8,1.26,1.69,Lay_Over45,10.5,1,arsenalcl,fcsellier,True,2x1,manual_user
2026-08-29,ICELAND 2,Afturelding,IF Vestri,35989814,1.2,14.5,3.9,1.77,Lay_Draw,9.8,0,afturelding,ifvestri,True,1x0,placar
2026-08-29,SCOTLAND 2,Partick,Queens Park,35970559,1.33,11.0,2.3,2.88,Lay_Draw,5.9,1,partick,queenspark,False,0x0,placar
2026-08-29,SCOTLAND 1,Celtic,Falkirk,35979297,1.27,13.5,2.96,2.3,Lay_Draw,7.0,0,celtic,falkirk,True,3x1,placar
2026-08-29,SAUDI ARABIA 1,Al-Kholood Club,Al Ahli,35988282,8.6,1.44,2.2,3.05,Lay_Home,9.0,0,alkholoodclub,alahli,True,0x1,placar
2026-08-29,CROATIA 1,NK Istra,Dinamo Zagreb,35975624,7.2,1.45,2.76,2.32,Lay_Home,8.0,0,nkistra,dinamozagreb,True,0x2,placar
2026-08-29,NETHERLANDS 1,AZ Alkmaar,Go Ahead Eagles,35965450,1.4,8.4,3.5,1.98,Lay_Draw,6.0,0,azalkmaar,goaheadeagles,True,5x2,placar
2026-08-29,ISRAEL 1,Hapoel Ramat Gan,Hapoel Be'er Sheva,35992580,7.4,1.48,2.28,2.78,Lay_Home,8.4,0,hapoelramatgan,hapoelbeersheva,True,0x2,placar
2026-08-29,PORTUGAL 1,Academico de Viseu,Porto,35979521,12.5,1.3,2.34,2.88,Lay_Draw,6.4,1,academicodeviseu,porto,True,0x3,manual_user
2026-08-29,TURKEY 1,Galatasaray,Goztepe,35976838,1.33,11.5,2.78,2.36,Lay_Draw,6.4,0,galatasaray,goztepe,True,3x1,placar
2026-08-29,ITALY 1,Juventus,Parma,35965555,1.26,16.0,2.2,3.05,Lay_Draw,6.8,1,juventus,parma,True,2x0,placar
2026-08-29,CROATIA 1,Varazdin,Rudes,35986245,1.3,12.0,2.44,2.66,Lay_Draw,6.8,1,varazdin,rudes,True,1x0,placar
2026-08-29,COLOMBIA 2,Real Cartagena,Tigres FC Zipaquira,35988913,1.27,14.5,2.12,3.1,Lay_Draw,6.8,1,realcartagena,tigresfczipaquira,True,1x0,placar
2026-08-29,ARGENTINA 1,Atl Tucuman,Belgrano,35949497,2.82,3.15,1.48,6.0,Lay_Over45,18.5,1,atltucuman,belgrano,True,0x0,manual_user
2026-08-29,PERU 1,Alianza Lima,Deportivo Garcilaso,35976951,1.34,13.5,1.93,3.45,Lay_Draw,5.5,1,alianzalima,deportivogarcilaso,True,3x4,placar
2026-08-29,USA 1,Kansas City,Vancouver Whitecaps,35973474,7.0,1.46,2.98,2.22,Lay_Home,7.6,0,kansascity,vancouverwhitecaps,True,1x1,placar
2026-08-30,NETHERLANDS 1,FC Utrecht,PSV,35974232,5.6,1.6,3.7,1.9,Lay_Home,5.8,1,fcutrecht,psv,True,1x2,placar
2026-08-30,SOUTH KOREA 1,Gwangju FC,FC Seoul,35984349,7.4,1.51,2.1,3.25,Lay_Home,8.0,0,gwangjufc,fcseoul,True,0x1,placar
2026-08-30,CHINA 1,Guangdong GZ-Power FC,Changchun Yatai,35992886,1.4,8.2,2.58,2.44,Lay_Draw,6.0,0,guangdonggzpowerfc,changchunyatai,True,2x1,placar
2026-08-30,ESTONIA 1,Nomme Kalju,Fci Tallinn,35978822,6.4,1.56,2.24,2.88,Lay_Home,7.4,1,nommekalju,fcitallinn,True,1x1,placar
2026-08-30,DENMARK 1,Silkeborg,Midtjylland,35965486,6.4,1.52,2.78,2.34,Lay_Home,6.8,0,silkeborg,midtjylland,True,1x1,placar
2026-08-30,SWEDEN 1,AIK,Hammarby,35974597,6.4,1.53,2.68,2.44,Lay_Home,6.8,0,aik,hammarby,True,0x0,placar
2026-08-30,NETHERLANDS 1,Feyenoord,ADO Den Haag,35974792,1.2,16.0,4.3,1.73,Lay_Draw,9.2,0,feyenoord,adodenhaag,False,2x2,placar
2026-08-30,NORWAY 1,Bodo Glimt,Rosenborg,35957196,1.34,8.8,4.1,1.79,Lay_Draw,6.8,0,bodoglimt,rosenborg,True,4x1,placar
2026-08-30,NETHERLANDS 1,SC Telstar,Ajax,35965511,6.2,1.55,3.35,2.04,Lay_Home,6.4,1,sctelstar,ajax,True,0x2,placar
2026-08-30,CZECH 1,Plzen,Slovacko,35974675,1.33,11.0,2.36,2.74,Lay_Draw,6.0,1,plzen,slovacko,True,2x0,placar
2026-08-30,NORWAY 2,Hodd,Stabaek,35988152,5.5,1.58,3.55,1.91,Lay_Home,5.7,1,hodd,stabaek,True,1x2,placar
2026-08-30,NORWAY 2,Sogndal,Stromsgodset,35988149,5.0,1.58,4.5,1.67,Lay_Home,5.2,1,sogndal,stromsgodset,True,1x1,placar
2026-08-30,NORWAY 1,Viking,Aalesunds,35957274,1.33,9.8,4.6,1.67,Lay_Draw,6.8,0,viking,aalesunds,True,0x1,placar
2026-08-30,SLOVAKIA 1,Slovan Bratislava,Zemplin,35974748,1.31,10.5,3.4,1.95,Lay_Draw,7.0,0,slovanbratislava,zemplin,True,3x0,placar
2026-08-30,ENGLAND 1,Man Utd,Ipswich,35971122,1.39,9.0,3.15,2.18,Lay_Draw,5.8,0,manutd,ipswich,True,5x2,placar
2026-08-30,BULGARIA 1,Botev Plovdiv,PFC Levski Sofia,35974323,6.4,1.61,1.99,3.55,Lay_Home,6.8,1,botevplovdiv,pfclevskisofia,True,0x1,placar
2026-08-30,BULGARIA 1,Spartak Varna,Ludogorets,35974389,6.6,1.6,1.93,3.6,Lay_Home,7.0,1,spartakvarna,ludogorets,True,1x1,placar
