Data,Liga,Home,Away,ID_Evento,Metodo,Odd_Lay,Odd_H_Back,Odd_A_Back,Odd_Under25_FT_Back,Odd_Over35_FT_Back,passa_filtro,capturado_em,Green,PnL_liab,Placar,Status
2026-08-30,NETHERLANDS 1,Feyenoord,ADO Den Haag,35974792,Lay_Draw,9.2,1.2,16.0,4.3,1.73,0,gap-retro,0,-8.2,2x2,RED
2026-08-30,NORWAY 1,Bodo Glimt,Rosenborg,35957196,Lay_Draw,6.8,1.34,8.8,4.1,1.79,0,gap-retro,1,0.95,4x1,GREEN
2026-08-30,NETHERLANDS 1,SC Telstar,Ajax,35965511,Lay_Home,6.4,6.2,1.55,3.35,2.04,1,gap-retro,1,0.95,0x2,GREEN
2026-08-30,CZECH 1,Plzen,Slovacko,35974675,Lay_Draw,6.0,1.33,11.0,2.36,2.74,1,gap-retro,1,0.95,2x0,GREEN
2026-08-30,NORWAY 2,Hodd,Stabaek,35988152,Lay_Home,5.7,5.5,1.58,3.55,1.91,1,gap-retro,1,0.95,1x2,GREEN
2026-08-30,NORWAY 2,Sogndal,Stromsgodset,35988149,Lay_Home,5.2,5.0,1.58,4.5,1.67,1,gap-retro,1,0.95,1x1,GREEN
2026-08-30,NORWAY 1,Viking,Aalesunds,35957274,Lay_Draw,6.8,1.33,9.8,4.6,1.67,0,gap-retro,1,0.95,0x1,GREEN
2026-08-30,SLOVAKIA 1,Slovan Bratislava,Zemplin,35974748,Lay_Draw,7.0,1.31,10.5,3.4,1.95,0,gap-retro,1,0.95,3x0,GREEN
2026-08-30,ENGLAND 1,Man Utd,Ipswich,35971122,Lay_Draw,5.8,1.39,9.0,3.15,2.18,0,gap-retro,1,0.95,5x2,GREEN
2026-08-30,BULGARIA 1,Botev Plovdiv,PFC Levski Sofia,35974323,Lay_Home,6.8,6.4,1.61,1.99,3.55,1,gap-retro,1,0.95,0x1,GREEN
2026-08-30,BULGARIA 1,Spartak Varna,Ludogorets,35974389,Lay_Home,7.0,6.6,1.6,1.93,3.6,1,gap-retro,1,0.95,1x1,GREEN
2026-08-30,AUSTRIA 1,Red Bull Salzburg,Austria Wien,35965456,Lay_Draw,5.9,1.4,8.6,2.9,2.28,0,gap-retro,1,0.95,4x1,GREEN
2026-08-30,CYPRUS 1,Karmiotissa Polemidion,Pafos FC,35971860,Lay_Draw,6.6,14.0,1.28,2.56,2.54,1,gap-retro,1,0.95,0x3,GREEN
2026-08-30,GREECE 1,Atromitos,PAOK,35967894,Lay_Home,6.2,5.8,1.65,2.12,3.2,1,gap-retro,1,0.95,1x2,GREEN
2026-08-30,ARGENTINA 1,Banfield,River Plate,35949499,Lay_Home,7.6,7.2,1.62,1.69,4.8,1,gap-retro,1,0.95,2x3,GREEN
2026-08-30,NETHERLANDS 1,Cambuur Leeuwarden,FC Twente,35965458,Lay_Draw,6.6,10.0,1.32,3.6,1.93,0,gap-retro,1,0.95,1x4,GREEN
2026-08-30,GREECE 1,Asteras Tripolis,Olympiakos,35967856,Lay_Home,9.4,9.2,1.5,1.83,4.0,0,gap-retro,1,0.95,0x2,GREEN
