League,Line,N1,N2,N3,consenso
GERMANY 2,3.5,Over,Over,Over,Over
GERMANY 3,3.5,Over,Under,Over,
GERMANY CUP,3.5,Under,Under,Over,
GREECE 1,3.5,Over,Under,Over,
GREECE 2,3.5,Over,Under,Under,
ICELAND 1,3.5,Under,Over,Under,
ICELAND 2,3.5,Over,Under,Under,
IRELAND 1,3.5,Over,Under,Under,
IRELAND 2,3.5,Under,Under,Over,
ISRAEL 1,3.5,Over,Over,Over,Over
ISRAEL 2,3.5,Over,Over,Over,Over
ITALY 1,3.5,Under,Over,Under,
ITALY 2,3.5,Over,Under,Under,
ITALY 3,3.5,Over,Under,Under,
ITALY 4,3.5,Over,Under,Over,
ITALY CUP,3.5,Under,Over,Under,
JAPAN 1,3.5,Under,Over,Under,
JAPAN 2,3.5,Over,Over,Under,
JAPAN 3,3.5,Over,Under,Over,
MEXICO 1,3.5,Over,Under,Under,
MEXICO 2,3.5,Over,Under,Over,
NETHERLANDS 1,3.5,Over,Under,Under,
NETHERLANDS 2,3.5,Under,Over,Under,
NETHERLANDS CUP,3.5,Under,Under,Under,Under
NORTHERN IRELAND 1,3.5,Under,Over,Under,
NORTHERN IRELAND 2,3.5,Over,Under,Over,
NORWAY 1,3.5,Under,Under,Over,
NORWAY 2,3.5,Under,Under,Under,Under
PARAGUAY 1,3.5,Under,Over,Over,
PARAGUAY 2,3.5,Under,Over,Over,
PERU 1,3.5,Over,Under,Under,
PERU 2,3.5,Over,Over,Under,
POLAND 1,3.5,Under,Under,Under,Under
POLAND 2,3.5,Under,Over,Over,
PORTUGAL 1,3.5,Under,Under,Under,Under
PORTUGAL 2,3.5,Under,Under,Under,Under
PORTUGAL 3,3.5,Under,Under,Under,Under
PORTUGAL CUP,3.5,Over,Under,Under,
ROMANIA 1,3.5,Over,Over,Over,Over
ROMANIA 2,3.5,Over,Under,Under,
SAUDI ARABIA 1,3.5,Under,Over,Over,
SAUDI ARABIA 2,3.5,Under,Under,Under,Under
SCOTLAND 1,3.5,Under,Under,Under,Under
SCOTLAND 2,3.5,Under,Over,Under,
SCOTLAND 3,3.5,Over,Over,Over,Over
SCOTLAND 4,3.5,Over,Under,Over,
SCOTLAND CUP,3.5,Over,Over,Under,
SERBIA 1,3.5,Under,Under,Under,Under
SERBIA 2,3.5,Under,Over,Under,
SLOVAKIA 1,3.5,Over,Over,Under,
SLOVAKIA 2,3.5,Under,Under,Over,
SLOVENIA 1,3.5,Under,Under,Under,Under
SLOVENIA 2,3.5,Under,Under,Under,Under
SOUTH AFRICA 1,3.5,Under,Under,Under,Under
SOUTH AFRICA 2,3.5,Under,Over,Under,
SOUTH KOREA 1,3.5,Over,Under,Under,
SOUTH KOREA 2,3.5,Under,Over,Under,
SPAIN 1,3.5,Over,Under,Over,
SPAIN 2,3.5,Under,Under,Over,
SPAIN 3,3.5,Under,Over,Over,
SPAIN 4,3.5,Under,Over,Under,
SPAIN CUP,3.5,Over,Under,Under,
SWEDEN 1,3.5,Under,Under,Under,Under
SWEDEN 2,3.5,Over,Over,Over,Over
SWITZERLAND 1,3.5,Under,Under,Under,Under
