Data_Arquivo,Horario_Entrada,Liga,Jogo,Metodo,Odd_Base,Odd_Real_Pega,1/0
2026-04-06,10:00:00,ITALY 2,Reggiana x Pescara,Lay_CS_0x1_B365,10.5,10.5,1.0
2026-04-06,09:30:00,ITALY 3,Salernitana x Benevento,Lay_CS_0x1_B365,9.4,9.4,0.0
2026-04-06,07:30:00,ITALY 3,Sorrento x Team Altamura,Lay_CS_0x1_B365,13.5,13.5,1.0
2026-04-06,07:30:00,ITALY 3,Sorrento x Team Altamura,Lay_CS_1x0_B365,7.6,7.6,1.0
2026-04-06,09:00:00,SWITZERLAND 2,Stade Nyonnais x Yverdon Sport,Lay_CS_0x1_B365,11.5,11.5,1.0
2026-04-06,10:00:00,SWEDEN 2,Varbergs BoIS x Ostersunds FK,Lay_CS_0x1_B365,12.0,12.0,1.0
2026-04-06,10:00:00,SWEDEN 2,Varbergs BoIS x Ostersunds FK,Lay_CS_1x0_B365,8.2,8.2,1.0
2026-04-06,09:00:00,DENMARK 1,Vejle x Randers,Lay_CS_0x1_B365,11.0,11.0,1.0
2026-04-06,09:00:00,DENMARK 1,Vejle x Randers,Lay_CS_1x0_B365,13.5,13.5,1.0
2026-04-06,13:00:00,DENMARK 1,Viborg x AGF,Lay_CS_0x1_B365,12.0,12.0,1.0
2026-04-06,09:00:00,AUSTRIA 2,WSC Hertha Wels x SV Austria Salzburg,Lay_CS_0x1_B365,13.0,13.0,1.0
2026-04-07,12:40:00,SAUDI ARABIA 1,Al Jubail x Al-Jndal,Lay_CS_0x1_B365,13.0,13.0,1.0
2026-04-07,12:40:00,SAUDI ARABIA 1,Al Jubail x Al-Jndal,Lay_CS_1x0_B365,10.5,10.5,1.0
2026-04-07,14:00:00,POLAND 1,Arka Gdynia x Zaglebie Lubin,Lay_CS_0x1_B365,9.8,9.8,1.0
2026-04-07,14:00:00,POLAND 1,Arka Gdynia x Zaglebie Lubin,Lay_CS_1x0_B365,8.0,8.0,1.0
2026-04-07,08:30:00,TURKEY 2,Bandirmaspor x Sariyer G.K.,Lay_CS_0x1_B365,16.0,16.0,1.0
2026-04-07,08:30:00,TURKEY 2,Bandirmaspor x Sariyer G.K.,Lay_CS_1x0_B365,11.0,11.0,1.0
2026-04-07,14:00:00,GERMANY 3,Duisburg x VfL Osnabruck,Lay_CS_0x1_B365,9.2,9.2,1.0
2026-04-07,14:30:00,SWITZERLAND 2,FC Wil x Neuchatel Xamax,Lay_CS_0x1_B365,13.0,13.0,1.0
