Data_Arquivo,Horario_Entrada,Liga,Jogo,Metodo,Odd_Base,Odd_Real_Pega,1/0,__odd_signal,__result,__odd_exec,__liquidity,__date,Status_Execucao,Skip_Reason,PnL_Linha,Lucro_Acumulado,Base_Atual,Run_Atual,Level_Profit_Atual,Stake_Multiplier,Stake_Phase
2026-04-13,15:30:00,ROMANIA 1,Universitatea Cluj x Universitatea Craiova,Lay_CS_0x1_B365,9.0,9.0,1.0,9.0,1.0,9.0,,2026-04-13,EXECUTED,,46.85557821153469,-572.556920493698,500.0,715.0278165221898,-572.556920493698,0.6,Fase_2_60pct
2026-04-13,15:30:00,SPAIN 2,Valladolid x Eibar,Lay_CS_0x1_B365,9.6,9.6,1.0,9.6,1.0,9.6,,2026-04-13,EXECUTED,,46.64309361266843,-525.9138268810296,500.0,761.6709101348582,-525.9138268810296,0.6,Fase_2_60pct
2026-04-13,16:00:00,SPAIN 1,Levante x Getafe,Lay_CS_0x1_B365,8.8,8.8,1.0,8.8,1.0,8.8,,2026-04-13,EXECUTED,,54.78171545969941,-471.13211142133025,500.0,816.4526255945576,-471.13211142133025,0.6,Fase_2_60pct
2026-04-14,10:15:00,SAUDI ARABIA 1,Al-Jndal x Al-Ula FC,Lay_CS_0x1_B365,9.4,9.4,1.0,9.4,1.0,9.4,,2026-04-14,EXECUTED,,54.52737178077938,-416.60473964055086,500.0,870.979997375337,-416.60473964055086,0.6,Fase_2_60pct
2026-04-15,12:00:00,CZECH 1,Sparta Prague B x SK Artis Brno,Lay_CS_0x1_B365,11.5,11.5,1.0,11.5,1.0,11.5,,2026-04-15,EXECUTED,,46.53521700262515,-370.06952263792573,500.0,917.5152143779621,-370.06952263792573,0.6,Fase_2_60pct
2026-04-17,15:30:00,GERMANY 1,St Pauli x FC Koln,Lay_CS_0x1_B365,10.5,10.5,1.0,10.5,1.0,10.5,,2026-04-17,EXECUTED,,54.181687922740714,-315.887834715185,500.0,971.6969023007028,-315.887834715185,0.6,Fase_2_60pct
2026-04-17,15:45:00,IRELAND 2,Kerry FC x Treaty United,Lay_CS_0x1_B365,11.5,11.5,1.0,11.5,1.0,11.5,,2026-04-17,EXECUTED,,51.91637735149469,-263.9714573636903,500.0,500.0,-263.9714573636903,0.6,Fase_2_60pct
2026-04-19,08:30:00,TURKEY 1,Kasimpasa x Alanyaspor,Lay_CS_0x1_B365,11.0,11.0,1.0,11.0,1.0,11.0,,2026-04-19,EXECUTED,,28.05,-235.9214573636903,500.0,528.05,-235.9214573636903,0.6,Fase_3_Bloqueada_60pct
2026-04-19,10:30:00,CZECH 1,Hradec Kralove x Slavia Prague,Lay_CS_0x1_B365,8.8,8.8,1.0,8.8,1.0,8.8,,2026-04-19,EXECUTED,,37.978980769230766,-197.94247659445955,500.0,566.0289807692308,-197.94247659445955,0.6,Fase_3_Bloqueada_60pct
2026-04-19,12:00:00,NORWAY 1,Ham-Kam x KFUM Oslo,Lay_CS_0x1_B365,11.5,11.5,1.0,11.5,1.0,11.5,,2026-04-19,EXECUTED,,30.242119829670333,-167.7003567647892,500.0,596.2711005989011,-167.7003567647892,0.6,Fase_3_Bloqueada_60pct
2026-04-19,12:00:00,NORWAY 1,Sarpsborg x Tromso,Lay_CS_0x1_B365,11.5,11.5,0.0,11.5,0.0,11.5,,2026-04-19,EXECUTED,,-357.7626603593406,-525.4630171241298,500.0,500.0,-525.4630171241298,0.6,Fase_3_Bloqueada_60pct
2026-04-19,12:15:00,ROMANIA 1,ACS Petrolul 52 x Hermannstadt,Lay_CS_0x1_B365,11.5,11.5,1.0,11.5,1.0,11.5,,2026-04-19,EXECUTED,,26.71428571428572,-498.7487314098441,500.0,526.7142857142857,-498.7487314098441,0.6,Fase_3_Bloqueada_60pct
2026-04-19,12:15:00,FRANCE 1,Nantes x Brest,Lay_CS_0x1_B365,10.5,10.5,1.0,10.5,1.0,10.5,,2026-04-19,EXECUTED,,31.103864661654136,-467.64486674818994,500.0,557.8181503759398,-467.64486674818994,0.6,Fase_3_Bloqueada_60pct
2026-04-19,12:30:00,POLAND 1,Arka Gdynia x Jagiellonia Bialystock,Lay_CS_0x1_B365,10.5,10.5,1.0,10.5,1.0,10.5,,2026-04-19,EXECUTED,,32.940629722200235,-434.7042370259897,500.0,590.75878009814,-434.7042370259897,0.6,Fase_3_Bloqueada_60pct
2026-04-19,13:00:00,DENMARK 1,Vejle x FC Copenhagen,Lay_CS_0x1_B365,11.5,11.5,1.0,11.5,1.0,11.5,,2026-04-19,EXECUTED,,31.563397679529196,-403.1408393464605,500.0,622.3221777776693,-403.1408393464605,0.6,Fase_3_Bloqueada_60pct
2026-04-19,13:30:00,SPAIN 2,Albacete x Granada,Lay_CS_0x1_B365,11.0,11.0,1.0,11.0,1.0,11.0,,2026-04-19,EXECUTED,,34.91227417332725,-368.22856517313323,500.0,657.2344519509965,-368.22856517313323,0.6,Fase_3_Bloqueada_60pct
2026-04-20,14:30:00,ROMANIA 1,Farul Constanta x FCSB,Lay_CS_0x1_B365,10.0,10.0,1.0,10.0,1.0,10.0,,2026-04-20,EXECUTED,,40.96761417161211,-327.2609510015211,500.0,698.2020661226086,-327.2609510015211,0.6,Fase_3_Bloqueada_60pct
2026-04-20,14:45:00,PORTUGAL 2,Porto B x Leixoes,Lay_CS_0x1_B365,11.0,11.0,1.0,11.0,1.0,11.0,,2026-04-20,EXECUTED,,39.16913590947834,-288.0918150920428,500.0,737.3712020320869,-288.0918150920428,0.6,Fase_3_Bloqueada_60pct
2026-04-20,14:45:00,PORTUGAL 2,Sporting Lisbon B x Felgueiras,Lay_CS_0x1_B365,11.5,11.5,0.0,11.5,0.0,11.5,,2026-04-20,EXECUTED,,-442.42272121925214,-730.5145363112949,500.0,500.0,-730.5145363112949,0.6,Fase_3_Bloqueada_60pct
2026-04-20,16:15:00,PORTUGAL 1,Moreirense x Estoril Praia,Lay_CS_0x1_B365,11.5,11.5,1.0,11.5,1.0,11.5,,2026-04-20,EXECUTED,,26.71428571428572,-703.8002505970093,500.0,526.7142857142857,-703.8002505970093,0.6,Fase_3_Bloqueada_60pct
2026-04-20,17:15:00,ARGENTINA 1,Banfield x Independiente Rivadavia,Lay_CS_0x1_B365,9.6,9.6,1.0,9.6,1.0,9.6,,2026-04-20,EXECUTED,,34.35892026578073,-669.4413303312285,500.0,561.0732059800664,-669.4413303312285,0.6,Fase_3_Bloqueada_60pct
