Data_Arquivo,Horario_Entrada,Liga,Jogo,Metodo,Odd_Base,Odd_Real_Pega,1/0,__odd_signal,__result,__odd_exec,__liquidity,__date,Status_Execucao,Skip_Reason,PnL_Linha,Lucro_Acumulado,Base_Atual,Run_Atual,Level_Profit_Atual,Stake_Multiplier,Stake_Phase,Profile_Mode,Mult_Metodo,Mult_Odd_Band,Mult_Intradia,Stake_Final_Aplicada
2026-04-10,00:00,FRANCE 3,Stade Briochin x Villefranche Beaujolais,Lay_CS_0x1_B365,12.5,12.5,1.0,12.5,1.0,12.5,,2026-04-10,EXECUTED,,13.97562558773704,-253.5144036823556,500.0,534.8626593228721,-253.5144036823556,0.3,Fase_1_30pct,moderado,1.1,1.0,1.0,171.8927211325946
2026-04-10,00:00,FRANCE 3,Valenciennes x Versailles 78 FC,Lay_CS_0x1_B365,13.5,13.5,1.0,13.5,1.0,13.5,,2026-04-10,EXECUTED,,13.202549882725776,-240.31185379962983,500.0,548.0652092055979,-240.31185379962983,0.3,Fase_1_30pct,moderado,1.1,1.0,1.0,176.5046775765478
2026-04-11,00:00,GERMANY 1,FC Heidenheim x Union Berlin,Lay_CS_0x1_B365,11.5,11.5,1.0,11.5,1.0,11.5,,2026-04-11,EXECUTED,,32.210575295311855,-208.10127850431797,500.0,580.2757845009097,-208.10127850431797,0.6,Fase_2_60pct,moderado,1.1,1.0,1.0,361.7230380756946
2026-04-11,00:00,SLOVAKIA 1,Ruzomberok x MFK Skalica,Lay_CS_0x1_B365,14.0,14.0,1.0,14.0,1.0,14.0,,2026-04-11,EXECUTED,,27.54524512427011,-180.55603338004786,500.0,607.8210296251798,-180.55603338004786,0.6,Fase_2_60pct,moderado,1.1,1.0,1.0,382.98201777060046
2026-04-11,00:00,SLOVAKIA 1,Trencin x Tatran Presov,Lay_CS_0x1_B365,15.0,15.0,0.0,15.0,0.0,15.0,,2026-04-11,EXECUTED,,-401.1618795526187,-581.7179129326665,500.0,500.0,-581.7179129326665,0.6,Fase_2_60pct,moderado,1.1,1.0,1.0,401.1618795526187
2026-04-11,00:00,GERMANY 1,St Pauli x Bayern Munich,Lay_CS_0x1_B365,10.5,10.5,1.0,10.5,1.0,10.5,,2026-04-11,EXECUTED,,34.10289473684211,-547.6150181958244,500.0,534.1028947368421,-547.6150181958244,0.6,Fase_2_60pct,moderado,1.1,1.05,1.0,346.5
2026-04-12,00:00,NETHERLANDS 2,FC Dordrecht x ADO Den Haag,Lay_CS_0x1_B365,11.5,11.5,1.0,11.5,1.0,11.5,,2026-04-12,EXECUTED,,31.38999012781955,-516.2250280680048,500.0,565.4928848646617,-516.2250280680048,0.6,Fase_2_60pct,moderado,1.1,1.0,1.0,352.5079105263158
2026-04-12,00:00,ENGLAND 1,Crystal Palace x Newcastle,Lay_CS_0x1_B365,11.5,11.5,1.0,11.5,1.0,11.5,,2026-04-12,EXECUTED,,33.23482469047455,-482.99020337753024,500.0,598.7277095551362,-482.99020337753024,0.6,Fase_2_60pct,moderado,1.1,1.0,1.0,373.2253040106767
2026-04-12,00:00,ENGLAND 1,Nottm Forest x Aston Villa,Lay_CS_0x1_B365,11.0,11.0,1.0,11.0,1.0,11.0,,2026-04-12,EXECUTED,,36.94748695664746,-446.04271642088275,500.0,635.6751965117837,-446.04271642088275,0.6,Fase_2_60pct,moderado,1.1,1.0,1.0,395.16028830638993
2026-04-12,00:00,ITALY 2,Padova x Empoli,Lay_CS_0x1_B365,9.6,9.6,1.0,9.6,1.0,9.6,,2026-04-12,EXECUTED,,47.894060692534055,-398.1486557283487,500.0,683.5692572043178,-398.1486557283487,0.6,Fase_2_60pct,moderado,1.1,1.05,1.0,440.5229111826662
2026-04-12,00:00,ENGLAND 1,Sunderland x Tottenham,Lay_CS_0x1_B365,11.5,11.5,1.0,11.5,1.0,11.5,,2026-04-12,EXECUTED,,40.17434177340805,-357.9743139549406,500.0,723.7435989777258,-357.9743139549406,0.6,Fase_2_60pct,moderado,1.1,1.0,1.0,451.15570975484974
2026-04-12,00:00,SLOVAKIA 1,KFC Komarno x FC Kosice,Lay_CS_0x1_B365,12.5,12.5,1.0,12.5,1.0,12.5,,2026-04-12,EXECUTED,,38.836710863404754,-319.1376030915359,500.0,762.5803098411305,-319.1376030915359,0.6,Fase_2_60pct,moderado,1.1,1.0,1.0,477.6707753252991
2026-04-12,00:00,DENMARK 1,Brondby x Midtjylland,Lay_CS_0x1_B365,12.0,12.0,1.0,12.0,1.0,12.0,,2026-04-12,EXECUTED,,42.78075538208743,-276.35684770944846,500.0,805.361065223218,-276.35684770944846,0.6,Fase_2_60pct,moderado,1.1,1.0,1.0,503.3030044951462
2026-04-12,00:00,GERMANY 3,Erzgebirge x Verl,Lay_CS_0x1_B365,13.0,13.0,1.0,13.0,1.0,13.0,,2026-04-12,EXECUTED,,41.41569277910399,-234.94115493034445,500.0,846.776758002322,-234.94115493034445,0.6,Fase_2_60pct,moderado,1.1,1.0,1.0,531.5383030473239
2026-04-12,00:00,AUSTRIA 1,Austria Wien x Rapid Vienna,Lay_CS_0x1_B365,10.0,10.0,1.0,10.0,1.0,10.0,,2026-04-12,EXECUTED,,60.96369269237719,-173.97746223796727,500.0,907.7404506946992,-173.97746223796727,0.6,Fase_2_60pct,moderado,1.1,1.05,1.0,586.8162932956093
2026-04-12,00:00,DENMARK 1,Randers x FC Copenhagen,Lay_CS_0x1_B365,10.5,10.5,1.0,10.5,1.0,10.5,,2026-04-12,EXECUTED,,61.91315407682989,-112.06430816113738,500.0,969.6536047715291,-112.06430816113738,0.6,Fase_2_60pct,moderado,1.1,1.05,1.0,629.0641323314267
2026-04-12,00:00,SPAIN 2,Cadiz x Andorra CF,Lay_CS_0x1_B365,9.6,9.6,0.0,9.6,0.0,9.6,,2026-04-12,EXECUTED,,-671.9699481066697,-784.034256267807,500.0,500.0,-784.034256267807,0.6,Fase_2_60pct,moderado,1.1,1.05,1.0,671.9699481066697
2026-04-12,00:00,SPAIN 2,Mirandes x CD Castellon,Lay_CS_0x1_B365,11.5,11.5,1.0,11.5,1.0,11.5,,2026-04-12,EXECUTED,,29.385714285714286,-754.6485419820928,500.0,529.3857142857142,-754.6485419820928,0.6,Fase_2_60pct,moderado,1.1,1.0,1.0,330.0
2026-04-13,00:00,SPAIN 2,Valladolid x Eibar,Lay_CS_0x1_B365,9.6,9.6,1.0,9.6,1.0,9.6,,2026-04-13,EXECUTED,,39.885827965116285,-714.7627140169765,500.0,569.2715422508305,-714.7627140169765,0.6,Fase_2_60pct,moderado,1.1,1.05,1.0,366.8643
2026-04-13,00:00,SPAIN 2,Valladolid x Eibar,Lay_CS_1x0_B365,7.6,7.6,1.0,7.6,1.0,7.6,,2026-04-13,EXECUTED,,47.904200280407395,-666.8585137365691,500.0,617.1757425312379,-666.8585137365691,0.6,Fase_2_60pct,moderado,0.9,1.1,1.0,338.14729609699333
2026-04-16,00:00,SLOVENIA 1,NK Aluminij x Mura,Lay_CS_0x1_B365,14.5,14.5,1.0,14.5,1.0,14.5,,2026-04-16,EXECUTED,,28.21178894192792,-638.6467247946412,500.0,645.3875314731658,-638.6467247946412,0.6,Fase_2_60pct,moderado,1.1,1.0,1.0,407.335990070617
2026-04-17,00:00,ITALY 1,Sassuolo x Como,Lay_CS_0x1_B365,9.6,9.6,1.0,9.6,1.0,9.6,,2026-04-17,EXECUTED,,48.6258230181041,-590.020901776537,500.0,694.01335449127,-590.020901776537,0.6,Fase_2_60pct,moderado,1.1,1.05,1.0,447.253559310904
2026-04-17,00:00,NETHERLANDS 2,Helmond Sport x VVV Venlo,Lay_CS_0x1_B365,15.0,15.0,1.0,15.0,1.0,15.0,,2026-04-17,EXECUTED,,30.59111721832591,-559.429784558211,500.0,724.6044717095959,-559.429784558211,0.6,Fase_2_60pct,moderado,1.1,1.0,1.0,458.0488139642382
2026-04-17,00:00,NETHERLANDS 2,Jong PSV Eindhoven x Jong Ajax Amsterdam,Lay_CS_0x1_B365,85.0,85.0,0.0,85.0,0.0,85.0,,2026-04-17,EXECUTED,,-478.23895132833337,-1037.6687358865445,500.0,500.0,-1037.6687358865445,0.6,Fase_2_60pct,moderado,1.1,1.0,1.0,478.23895132833337
2026-04-17,00:00,NETHERLANDS 2,Vitesse Arnhem x MVV Maastricht,Lay_CS_0x1_B365,44.0,44.0,1.0,44.0,1.0,44.0,,2026-04-17,EXECUTED,,7.175581395348838,-1030.4931544911956,500.0,507.17558139534884,-1030.4931544911956,0.6,Fase_2_60pct,moderado,1.1,1.0,1.0,330.0
2026-04-17,00:00,GERMANY 1,St Pauli x FC Koln,Lay_CS_0x1_B365,10.5,10.5,1.0,10.5,1.0,10.5,,2026-04-17,EXECUTED,,34.592310930844555,-995.9008435603511,500.0,541.7678923261934,-995.9008435603511,0.6,Fase_2_60pct,moderado,1.1,1.05,1.0,351.4726779069768
2026-04-18,00:00,SLOVAKIA 1,Podbrezova x Dunajska Streda,Lay_CS_0x1_B365,12.5,12.5,1.0,12.5,1.0,12.5,,2026-04-18,EXECUTED,,29.071736204738606,-966.8291073556125,500.0,570.839628530932,-966.8291073556125,0.6,Fase_2_60pct,moderado,1.1,1.0,1.0,357.56680893528767
2026-04-18,00:00,SLOVAKIA 1,Ruzomberok x KFC Komarno,Lay_CS_0x1_B365,12.0,12.0,1.0,12.0,1.0,12.0,,2026-04-18,EXECUTED,,32.024103160585284,-934.8050041950272,500.0,602.8637316915173,-934.8050041950272,0.6,Fase_2_60pct,moderado,1.1,1.0,1.0,376.75415483041513
2026-04-18,00:00,SCOTLAND 2,Ross Co x Ayr,Lay_CS_0x1_B365,12.5,12.5,1.0,12.5,1.0,12.5,,2026-04-18,EXECUTED,,32.350192071898725,-902.4548121231285,500.0,635.213923763416,-902.4548121231285,0.6,Fase_2_60pct,moderado,1.1,1.0,1.0,397.8900629164014
2026-04-18,00:00,SERBIA 1,FK Novi Pazar x OFK Beograd,Lay_CS_0x1_B365,13.5,13.5,1.0,13.5,1.0,13.5,,2026-04-18,EXECUTED,,31.359240988352322,-871.0955711347762,500.0,666.5731647517683,-871.0955711347762,0.6,Fase_2_60pct,moderado,1.1,1.0,1.0,419.24118968385454
2026-04-19,00:00,ITALY 1,US Cremonese x Torino,Lay_CS_0x1_B365,9.0,9.0,1.0,9.0,1.0,9.0,,2026-04-19,EXECUTED,,56.559566245643495,-814.5360048891326,500.0,723.1327309974118,-814.5360048891326,0.6,Fase_2_60pct,moderado,1.1,1.1,1.0,483.93211760978386
2026-04-19,00:00,ESTONIA 1,Paide Linnameeskond x Nomme Kalju,Lay_CS_0x1_B365,12.0,12.0,1.0,12.0,1.0,12.0,,2026-04-19,EXECUTED,,40.567746208954816,-773.9682586801778,500.0,763.7004772063667,-773.9682586801778,0.6,Fase_2_60pct,moderado,1.1,1.0,1.0,477.2676024582919
2026-04-19,00:00,DENMARK 1,Vejle x FC Copenhagen,Lay_CS_0x1_B365,11.5,11.5,1.0,11.5,1.0,11.5,,2026-04-19,EXECUTED,,44.8837680460999,-729.0844906340778,500.0,808.5842452524666,-729.0844906340778,0.6,Fase_2_60pct,moderado,1.1,1.0,1.0,504.04231495620206
2026-04-19,00:00,SPAIN 2,Albacete x Granada,Lay_CS_0x1_B365,11.0,11.0,1.0,11.0,1.0,11.0,,2026-04-19,EXECUTED,,49.89773377452972,-679.1867568595482,500.0,858.4819790269963,-679.1867568595482,0.6,Fase_2_60pct,moderado,1.1,1.0,1.0,533.665601866628
2026-04-19,00:00,ITALY 1,Pisa x Genoa,Lay_CS_0x1_B365,8.2,8.2,1.0,8.2,1.0,8.2,,2026-04-19,EXECUTED,,80.93696558101604,-598.2497912785321,500.0,939.4189446080123,-598.2497912785321,0.6,Fase_2_60pct,moderado,1.1,1.1,1.0,623.2579167735994
2026-04-19,00:00,ITALY 1,US Cremonese x Torino,Lay_CS_1x0_B365,10.5,10.5,1.0,10.5,1.0,10.5,,2026-04-19,EXECUTED,,52.42402698833838,-545.8257642901938,500.0,991.8429715963507,-545.8257642901938,0.6,Fase_2_60pct,moderado,0.9,1.05,1.0,532.6505415927429
2026-04-19,00:00,ITALY 1,Pisa x Genoa,Lay_CS_1x0_B365,9.0,9.0,1.0,9.0,1.0,9.0,,2026-04-19,EXECUTED,,68.85745849936218,-476.9683057908316,500.0,500.0,-476.9683057908316,0.6,Fase_2_60pct,moderado,0.9,1.1,1.0,589.1547251282325
2026-04-19,00:00,SPAIN 2,Albacete x Granada,Lay_CS_1x0_B365,9.2,9.2,1.0,9.2,1.0,9.2,,2026-04-19,EXECUTED,,32.32591463414635,-444.6423911566853,500.0,532.3259146341463,-444.6423911566853,0.6,Fase_2_60pct,moderado,0.9,1.05,1.0,283.5
2026-04-20,00:00,ENGLAND 1,Crystal Palace x West Ham,Lay_CS_0x1_B365,12.0,12.0,1.0,12.0,1.0,12.0,,2026-04-20,EXECUTED,,29.863483810975612,-414.7789073457097,500.0,562.1893984451219,-414.7789073457097,0.6,Fase_3_Bloqueada_60pct,moderado,1.1,1.0,1.0,351.3351036585366
2026-04-21,00:00,AUSTRIA 1,SCR Altach x WSG Wattens,Lay_CS_0x1_B365,11.5,11.5,1.0,11.5,1.0,11.5,,2026-04-21,EXECUTED,,33.04067407433189,-381.7382332713778,500.0,595.2300725194539,-381.7382332713778,0.6,Fase_3_Bloqueada_60pct,moderado,1.1,1.0,1.0,371.0450029737805
2026-04-21,00:00,AUSTRIA 1,SV Ried x Grazer AK,Lay_CS_0x1_B365,12.0,12.0,1.0,12.0,1.0,12.0,,2026-04-21,EXECUTED,,33.39240706834136,-348.34582620303644,500.0,628.6224795877953,-348.34582620303644,0.6,Fase_3_Bloqueada_60pct,moderado,1.1,1.0,1.0,392.8518478628396
2026-04-22,00:00,ICELAND 1,Keflavik x Breidablik,Lay_CS_0x1_B365,14.5,14.5,1.0,14.5,1.0,14.5,,2026-04-22,EXECUTED,,28.73503201137989,-319.61079419165657,500.0,657.3575115991752,-319.61079419165657,0.6,Fase_3_Bloqueada_60pct,moderado,1.1,1.0,1.0,414.8908365279449
2026-04-22,00:00,AUSTRIA 1,Sturm Graz x LASK Linz,Lay_CS_0x1_B365,12.0,12.0,1.0,12.0,1.0,12.0,,2026-04-22,EXECUTED,,36.877756400713736,-282.73303779094283,500.0,694.235267999889,-282.73303779094283,0.6,Fase_3_Bloqueada_60pct,moderado,1.1,1.0,1.0,433.85595765545565
2026-04-24,00:00,FRANCE 3,Chateauroux x Fleury Merogis,Lay_CS_0x1_B365,14.5,14.5,1.0,14.5,1.0,14.5,,2026-04-24,EXECUTED,,31.734265472794927,-250.9987723181479,500.0,725.9695334726839,-250.9987723181479,0.6,Fase_3_Bloqueada_60pct,moderado,1.1,1.0,1.0,458.1952768799268
