runner,lado,fav,gols,lado_fav,corte,N_rec,perdas_rec,ROI_rec,IC_lo,IC_hi,p_ic,dias,N_antes,ROI_antes,P_perm,odd_med,aprovado,BH_ic,BH_perm,fam
CS_1x2,back,fav1.40-1.80,U25 1.60-2.20,fav casa,Todos,217,198,71.04377880184332,-4.087274928263999,150.42226248194717,0.034,30,967,-18.54188210961738,0.005,20.0,False,False,False,CS
A,back,fav>1.80,U25>2.20,Todos,TOP 3,96,43,20.679166666666664,-2.031158717105263,44.35122930372806,0.0355,35,448,-7.7297991071428624,0.0075,2.02,False,False,False,nao-CS
D,lay,fav1.40-1.80,U25 1.60-2.20,fav fora,Todos,56,9,8.075668004452975,-0.7146059209115669,16.81453382744914,0.037,19,293,-5.585358350547535,0.03,4.3,False,False,False,nao-CS
Over35_FT,back,fav1.40-1.80,Todos,fav fora,Todos,146,82,19.425684931506844,-3.020953114754103,40.66435145888591,0.038,26,664,-9.205120481927715,0.005,2.75,False,False,False,nao-CS
A,back,fav<=1.40,U25>2.20,fav casa,TOP 3,41,32,90.6341463414634,-10.820512820512821,201.11504576659024,0.039,24,141,-19.09219858156029,0.0275,8.6,False,False,False,nao-CS
A,back,fav<=1.40,U25>2.20,Todos,TOP 3,41,32,90.6341463414634,-10.820512820512821,201.11504576659024,0.039,24,141,-19.09219858156029,0.02,8.6,False,False,False,nao-CS
Over15_HT,back,fav1.40-1.80,U25 1.60-2.20,Todos,Todos,274,167,12.741970802919706,-2.201323237723654,25.052074837137862,0.0395,31,1306,-8.355206738131704,0.0125,2.96,False,False,False,nao-CS
Under25_FT,lay,fav1.40-1.80,U25 1.60-2.20,fav casa,Todos,220,97,10.039044056213053,-1.0702588349057032,20.022524014795035,0.0395,30,1071,-0.2780083697596927,0.0675,2.02,False,False,False,nao-CS
Over25_FT,back,fav1.40-1.80,U25 1.60-2.20,fav casa,Todos,220,97,9.942499999999997,-1.128712884411454,19.894717093115272,0.04,30,1071,-0.28884220354808776,0.0975,1.98,False,False,False,nao-CS
1X,back,Todos,U25 1.60-2.20,fav casa,TOP 3,40,8,18.878749999999997,-2.3386618303571454,36.44459103840679,0.04,17,213,5.533568075117369,0.1675,1.51,False,False,False,nao-CS
1X,back,fav>1.80,U25 1.60-2.20,fav casa,TOP 3,40,8,18.878749999999997,-2.3386618303571454,36.44459103840679,0.04,17,213,5.533568075117369,0.1425,1.51,False,False,False,nao-CS
BTTS_Yes,back,fav1.40-1.80,U25 1.60-2.20,fav fora,TOP 3,41,14,24.73048780487804,-3.061500000000006,51.8418884268884,0.0405,19,229,-1.4000000000000015,0.07,1.91,False,False,False,nao-CS
CS_3x0,back,fav1.40-1.80,U25>2.20,fav casa,TOP 3,84,71,90.20833333333333,-10.63656912707546,212.96536144578303,0.041,33,314,-19.09713375796179,0.005,12.5,False,False,False,CS
Under15_HT,lay,fav1.40-1.80,U25 1.60-2.20,Todos,Todos,274,167,12.639422377095702,-2.345796597582199,24.95993702950059,0.0415,31,1323,-8.644496990596151,0.0075,1.51,False,False,False,nao-CS
CS_1x2,back,fav1.40-1.80,U25 1.60-2.20,Todos,Todos,273,246,61.507326007326,-5.995294620218284,135.63515625,0.0415,31,1239,-14.585149313962878,0.0025,19.5,False,False,False,CS
D,lay,fav<=1.40,Todos,fav casa,Todos,150,15,5.184668936820813,-0.7405909057704696,10.680720846610708,0.043,29,616,-2.1869668788696934,0.0125,6.6,False,False,False,nao-CS
Over25_FT,back,fav1.40-1.80,Todos,fav casa,TOP 3,98,26,12.45816326530612,-1.6059167220744697,26.179897959183666,0.043,35,546,0.39157509157508996,0.1175,1.5,False,False,False,nao-CS
Over25_FT,back,fav1.40-1.80,U25>2.20,fav casa,TOP 3,83,20,10.88192771084337,-1.5769654986106834,23.709497899159658,0.043,33,413,-1.3907990314770005,0.0675,1.47,False,False,False,nao-CS
Under35_FT,lay,fav1.40-1.80,Todos,fav fora,Todos,140,78,17.942731500362015,-2.598014842623372,37.52368941074805,0.0435,24,614,-6.464255446776834,0.0275,1.585,False,False,False,nao-CS
D,lay,fav1.40-1.80,U25 1.60-2.20,Todos,Todos,276,51,4.918215852929376,-0.8471190690410443,9.702399228868781,0.0445,31,1354,-2.959782506284395,0.01,4.3,False,False,False,nao-CS
Under45_FT,back,Todos,Todos,Todos,TOP 3,94,16,9.366489361702131,-1.4994321322278896,20.323358036890646,0.045,33,467,-0.6724839400428237,0.04,1.31,False,False,False,nao-CS
Under45_FT,back,Todos,U25>2.20,Todos,TOP 3,94,16,9.366489361702131,-1.4994321322278896,20.323358036890646,0.045,33,467,-0.38511777301926925,0.0575,1.31,False,False,False,nao-CS
