linha,janela,estado,fav,N,WR,BE,gap_pp,ROI,odd_med,IC_lo,IC_hi,p,blocos,BH_passa,decisao
1.5,10-25,1 gol,>1.80,258,88.37209302325581,89.3771641777282,-1.0050711544723923,-1.019573643410852,1.12,-5.7125921250537175,3.112062961822656,1.0,18,False,INCONCLUSIVO
1.5,25-40,0-0,1.40-1.80,83,51.80722891566265,56.580118202746874,-4.772889287084226,-9.803614457831328,1.81,-28.102212025316454,8.887011010924223,1.0,18,False,INCONCLUSIVO
0.5,10-25,0-0,>1.80,526,84.60076045627376,87.19442437729865,-2.59366392102488,-3.130513307984791,1.15,-7.82875933397421,1.3609859804945996,1.0,19,False,INCONCLUSIVO
0.5,46-60,0-0,>1.80,289,72.66435986159169,75.29866153189408,-2.634301670302386,-3.6152249134948105,1.34,-11.554595299777944,4.692495393120391,1.0,19,False,INCONCLUSIVO
1.5,10-25,1 gol,1.40-1.80,74,90.54054054054053,91.18561683821599,-0.645076297675462,-0.5756756756756726,1.1,-7.664736842105261,5.784904422788609,1.0,17,False,INCONCLUSIVO
0.5,60-75,0-0,>1.80,219,64.38356164383562,67.33960310718055,-2.9560414633449272,-4.244748858447489,1.52,-14.924701993153711,7.278459320666126,1.0,19,False,INCONCLUSIVO
0.5,75-85,0-0,>1.80,148,47.2972972972973,49.56309114781497,-2.265793850517678,-4.965202702702706,2.1100000000000003,-22.506474533106964,14.9749141072358,1.0,19,False,INCONCLUSIVO
1.5,10-25,0-0,1.40-1.80,136,67.64705882352942,69.93284027768185,-2.2857814541524357,-4.13933823529412,1.45,-18.80445588235294,8.37424669227486,1.0,18,False,INCONCLUSIVO
0.5,60-75,0-0,1.40-1.80,47,72.3404255319149,74.0102162544748,-1.669790722559894,-3.161702127659575,1.38,-24.374024268617024,18.547889880952376,1.0,16,False,INCONCLUSIVO
0.5,25-40,0-0,>1.80,353,77.05382436260622,80.53611414348316,-3.482289780876935,-4.454815864022664,1.26,-11.478602713178296,2.0933982511923666,1.0,19,False,INCONCLUSIVO
0.5,46-60,0-0,1.40-1.80,66,80.3030303030303,80.29842968708023,0.004600615950067777,-0.19318181818181937,1.255,-14.6975537387086,13.785888992537313,1.0,17,False,INCONCLUSIVO
