runner,lado,fav,gols,lado_fav,corte,N,perdas,WR,BE,edge_pp,odd_med,ROI,IC_lo,IC_hi,p,dias,N_janabr,ROI_janabr,N_maijul,ROI_maijul,N_agoset,ROI_agoset,BH_passa,decisao
X2,back,fav>1.80,Todos,fav casa,TOP 3,105,30,71.42857142857143,64.47704756780963,6.9515238607617995,1.56,10.4147619047619,-3.5777524907423737,22.96901723130841,0.072,36,0,,0,,105,10.4147619047619,False,INCONCLUSIVO
Over25_FT,back,fav1.40-1.80,U25>2.20,fav casa,Todos,238,74,68.90756302521008,64.5721183893364,4.335444635873687,1.6,6.711974789915964,-2.910406045899857,15.355842618311133,0.075,33,0,,0,,238,6.711974789915964,False,INCONCLUSIVO
CS_Goleada_H,lay,fav>1.80,U25 1.60-2.20,Todos,Todos,884,29,96.71945701357465,95.8945905845796,0.8248664289950525,24.0,0.8508499265908098,-0.4060017913754509,1.9567962512643053,0.0765,35,0,,0,,884,0.8508499265908098,False,INCONCLUSIVO
CS_1x1,lay,fav<=1.40,U25>2.20,fav casa,Todos,132,5,96.21212121212122,94.20448571587698,2.007635496244231,15.5,2.1121787863990935,-0.7989394635035963,4.946162248503464,0.081,29,0,,0,,132,2.1121787863990935,False,INCONCLUSIVO
CS_2x3,lay,fav>1.80,U25 1.60-2.20,fav fora,Todos,100,1,99.0,97.40302747375338,1.5969725262466206,37.0,1.6359578724094854,-1.2022289636402541,2.6910464265388336,0.082,24,0,,0,,100,1.6359578724094854,False,INCONCLUSIVO
CS_0x1,lay,Todos,U25 1.60-2.20,fav fora,Todos,377,30,92.04244031830238,90.05121220661248,1.9912281116899133,9.8,2.263595322741153,-1.128117856720406,5.186311669178964,0.083,34,0,,0,,377,2.263595322741153,False,INCONCLUSIVO
Under25_FT,lay,fav1.40-1.80,U25>2.20,fav casa,Todos,246,76,69.10569105691057,65.11953301177952,3.9861580451310386,2.7,6.239456432391346,-3.2263850632887876,15.061933972803393,0.0845,33,0,,0,,246,6.239456432391346,False,INCONCLUSIVO
A,back,Todos,U25>2.20,Todos,TOP 3,100,40,60.0,53.339885634656966,6.660114365343029,1.815,16.144999999999996,-7.245233799705448,41.05620199110571,0.085,35,0,,0,,100,16.144999999999996,False,INCONCLUSIVO
BTTS_Yes,back,fav1.40-1.80,U25 1.60-2.20,Todos,Todos,272,121,55.51470588235294,51.13612117138446,4.378584710968481,2.0,8.658823529411762,-4.630424499368573,19.82016070171384,0.09,31,0,,0,,272,8.658823529411762,False,INCONCLUSIVO
X2,back,Todos,Todos,fav fora,Todos,113,31,72.56637168141593,66.77241535769112,5.793956323724814,1.52,8.784070796460174,-4.42421398305085,21.702757987100647,0.091,30,0,,0,,113,8.784070796460174,False,INCONCLUSIVO
X2,back,fav>1.80,Todos,fav fora,Todos,113,31,72.56637168141593,66.77241535769112,5.793956323724814,1.52,8.784070796460174,-4.42421398305085,21.702757987100647,0.091,30,0,,0,,113,8.784070796460174,False,INCONCLUSIVO
D,lay,fav1.40-1.80,Todos,Todos,Todos,636,120,81.13207547169812,79.15420918876522,1.9778662829328941,4.6,2.5234048406697864,-1.5035134704002533,6.1068818467606345,0.092,36,0,,0,,636,2.5234048406697864,False,INCONCLUSIVO
Over45_FT,back,Todos,U25>2.20,Todos,TOP 3,100,55,44.99999999999999,37.7140154685697,7.285984531430295,2.74,18.282999999999994,-8.340615172341979,47.31409572901326,0.0925,35,0,,0,,100,18.282999999999994,False,INCONCLUSIVO
BTTS_No,lay,fav1.40-1.80,U25 1.60-2.20,Todos,Todos,272,121,55.51470588235294,51.17287275452087,4.341833127832073,2.0,8.576288337272548,-4.700098403829896,19.740380230211944,0.0935,31,0,,0,,272,8.576288337272548,False,INCONCLUSIVO
CS_3x1,lay,Todos,Todos,fav fora,Todos,262,5,98.09160305343512,97.1096979555987,0.9819050978364108,34.0,1.0162623109956632,-0.6969153779736098,2.4688047609384913,0.0945,32,0,,0,,262,1.0162623109956632,False,INCONCLUSIVO
