Data,Home,Away,liga,tipo,odd,p,ev,passa_xgb,gh,ga,fonte
2026-09-14,America De Cali,Dep. Pasto,COLOMBIA 1,fuzzy,17.5,0.9440780878067017,-0.02583736777305612,0,0,1,betfair:exato
2026-09-15,Peterborough,Barnsley,ENGLAND CUP,exato,16.5,0.9671168526013693,0.4090722252925242,1,3,3,betfair_oficial:exato
2026-09-15,West Ham,Fulham,ENGLAND CUP,exato,20.0,0.9485333959261576,-0.07675875127315601,0,2,3,betfair_oficial:exato
2026-09-15,Boston Utd,Woking,ENGLAND 5,exato,18.5,0.9683797756830851,0.36660686135291987,1,1,1,betfair_oficial:exato
2026-09-15,Sutton,Eastleigh,ENGLAND 5,fuzzy,17.5,0.9579785664876302,0.21672598520914776,1,2,1,betfair:exato
2026-09-15,Falkirk,Hearts,SCOTLAND 1,exato,18.0,0.9408794641494751,-0.11121361851692202,0,2,1,betfair_oficial:exato
2026-09-15,Motherwell,Aberdeen,SCOTLAND 1,exato,19.5,0.9536737600962321,0.048954633871713504,1,0,4,betfair:exato
2026-09-15,CRB,Sport Recife,BRAZIL 2,exato,18.5,0.9504079023996989,0.035025799274443936,1,2,1,betfair_oficial:exato
2026-09-16,Atl. Madrid,Osasuna,SPAIN 1,fuzzy,18.5,0.9505035281181335,0.03679009377956388,1,4,0,betfair:exato
2026-09-16,AIK,Mjallby,SWEDEN 1,exato,17.5,0.9384817878405253,-0.1234928021828341,0,1,1,betfair_oficial:exato
2026-09-16,Altrincham,Hartlepool,ENGLAND 5,exato,15.5,0.9735773007074991,0.5417692959308618,1,2,1,betfair_oficial:exato
2026-09-16,Kidderminster,Gateshead,ENGLAND 5,exato,18.5,0.9704594413439432,0.40497669279575277,1,1,0,betfair_oficial:exato
2026-09-18,Bandirmaspor,Umraniyespor,TURKEY 2,exato,15.0,0.9297690391540527,-0.09995286464691167,0,0,1,betfair_oficial:exato
