runner,lado,fav,gols,lado_fav,corte,N,perdas,WR,BE,edge_pp,odd_med,ROI,IC_lo,IC_hi,p,dias,N_janabr,ROI_janabr,N_maijul,ROI_maijul,N_agoset,ROI_agoset,BH_passa,decisao
CS_0x3,lay,fav1.40-1.80,Todos,fav casa,TOP 3,309,3,99.02912621359224,93.06078684053249,5.9683393730597505,13.5,6.422210917707714,5.138756695041738,7.437965099826541,0.0,108,309,6.422210917707714,0,,0,,True,INCONCLUSIVO (perdas<5)
CS_0x3,lay,fav1.40-1.80,U25 1.60-2.20,Todos,Todos,803,14,98.25653798256539,94.08096334007278,4.175574642492597,16.5,4.461018781347753,3.4112718175102676,5.352606170220196,0.0,168,683,5.400302617027517,65,-0.28655765684124973,55,-1.5924065147794153,True,PASSA
CS_1x1,back,Todos,Todos,Todos,Todos,12884,11371,11.743247438683635,10.741905062914132,1.0013423757695026,9.6,28.957350201800676,19.946174348897205,38.466658106894506,0.0,245,7278,62.35421819181093,3084,-8.571498054474713,2522,-21.527755749405237,True,PASSA
CS_1x1,back,Todos,U25 1.60-2.20,fav fora,Todos,2114,1855,12.25165562913907,9.381166455673192,2.8704891734658773,16.0,72.55629139072846,47.54984893720734,98.11323329459495,0.0,221,1283,130.33008573655493,453,-24.444812362030905,378,-7.291005291005294,True,PASSA
CS_0x3,lay,fav>1.80,U25 1.60-2.20,fav casa,TOP 3,313,3,99.04153354632588,95.82653826606597,3.2149952802599135,22.0,3.3682249354716705,2.0491752743265272,4.366107086727014,0.0,111,310,3.3772474596610986,3,2.435897435897436,0,,True,INCONCLUSIVO (perdas<5)
CS_0x3,lay,fav>1.80,U25 1.60-2.20,fav casa,Todos,1620,17,98.95061728395062,96.60552794923352,2.3450893347170987,29.0,2.438144058106,1.9121741118733135,2.916896116904098,0.0,111,1617,2.4381482262362573,3,2.435897435897436,0,,True,PASSA
CS_1x1,back,fav>1.80,U25<=1.60,fav fora,Todos,416,352,15.384615384615385,9.593107378615372,5.791508006000014,16.5,105.63581730769232,53.10594696399193,161.88490116242272,0.0,165,287,153.0121951219512,71,29.50704225352112,58,-35.60344827586207,True,PASSA
CS_1x1,back,fav>1.80,U25<=1.60,Todos,Todos,1492,1280,14.209115281501338,11.795661606856086,2.413453674645252,9.2,50.95945040214475,28.075832162094034,74.43803343238963,0.0,212,919,101.11099020674648,337,-16.74925816023739,236,-47.648305084745765,True,PASSA
CS_1x1,back,fav>1.80,U25 1.60-2.20,Todos,Todos,5348,4641,13.219895287958117,10.68770914513939,2.5321861428187264,10.0,45.39388556469709,31.87936037714695,60.07159188390504,0.0,242,3291,82.52430872075355,1103,-17.092021758839536,954,-10.449161425576522,True,PASSA
CS_0x3,lay,fav<=1.40,U25 1.60-2.20,fav casa,TOP 3,103,1,99.02912621359224,90.73779857224996,8.291327641342273,10.5,9.145813303309957,6.717668599633464,10.53640322537344,0.0,57,103,9.145813303309957,0,,0,,True,INCONCLUSIVO (perdas<5)
CS_0x3,lay,fav<=1.40,U25>2.20,Todos,Todos,422,6,98.5781990521327,90.90716129354783,7.671037758584864,10.5,8.485930446557747,7.020538318907232,9.638261965005128,0.0,137,348,10.109912981067113,49,1.0071896274293277,25,0.5384255716790178,True,PASSA
CS_2x0,lay,fav>1.80,Todos,fav casa,Todos,5814,438,92.46646026831785,90.53396341895504,1.932496849362808,9.6,2.2566776046855015,1.2941623463954282,3.22328870233796,0.0,244,3372,5.081492377436772,1319,-1.6205343446067648,1123,-1.6714015160631943,True,PASSA
CS_0x3,lay,Todos,U25>2.20,Todos,Todos,2108,46,97.81783681214421,94.64766695932494,3.170169852819271,20.0,3.437055464894187,2.6378448790671842,4.161512143695647,0.0,210,1427,4.947778936203375,384,-0.06463510622924129,297,0.705899861369564,True,PASSA
CS_0x3,lay,fav1.40-1.80,U25>2.20,Todos,Todos,712,13,98.17415730337079,94.16091233273745,4.013244970633334,16.5,4.273806660203503,3.1570145931079963,5.226474308074745,0.0,169,513,5.532845429790549,113,2.00102483293672,86,-0.2501763899942617,True,PASSA
CS_0x3,lay,fav1.40-1.80,U25 1.60-2.20,fav casa,TOP 3,271,2,99.2619926199262,93.28211499233713,5.97987762758907,14.0,6.415263080888001,5.162132341416496,7.297053728085085,0.0,101,271,6.415263080888001,0,,0,,True,INCONCLUSIVO (perdas<5)
CS_1x1,back,fav>1.80,U25 1.60-2.20,fav casa,Todos,3515,3037,13.598862019914648,11.355729547728147,2.2431324721865002,10.0,32.117780938833555,19.080607242932608,45.473990923183585,0.0,234,2154,61.10329619312906,724,-11.830110497237573,637,-15.945839874411302,True,PASSA
CS_0x3,lay,fav<=1.40,Todos,Todos,Todos,551,10,98.18511796733212,90.92556234825338,7.25955561907875,10.5,8.022182389356198,6.560462980297756,9.167114320303495,0.0,148,464,9.853693541211413,57,-3.7470603542227177,30,2.0563711201288366,True,PASSA
CS_0x3,lay,Todos,U25>2.20,fav casa,TOP 3,314,0,100.0,91.71454978799429,8.285450212005719,11.0,9.124718800141562,8.654442370600316,9.555173836611841,0.0,121,298,9.482966456398493,9,2.4505274505274506,7,2.4547074547074548,True,INCONCLUSIVO (perdas<5)
CS_0x3,lay,Todos,U25>2.20,fav casa,Todos,1414,16,98.86845827439888,94.24351443517294,4.624943839225937,18.0,5.0055710615591495,4.351956859189293,5.611696023080955,0.0,121,1398,5.0347924047259935,9,2.4505274505274506,7,2.4547074547074548,True,PASSA
CS_0x3,lay,Todos,U25>2.20,Todos,TOP 3,559,17,96.95885509838999,92.63261502730217,4.326240071087817,12.5,4.795315183703082,3.1268849617239756,6.292413103646255,0.0,210,309,9.395752881457565,164,-0.16519815114040606,86,-2.2745808824806804,True,PASSA
CS_0x3,lay,fav1.40-1.80,U25 1.60-2.20,Todos,TOP 3,386,11,97.15025906735751,93.53145015352482,3.618808913832694,15.0,3.9044491860510337,2.0513795146253027,5.533649647573234,0.0,168,282,6.030238375416515,63,-0.48272955524437344,41,-3.975557904179579,True,PASSA
CS_0x3,lay,fav>1.80,Todos,fav casa,Todos,2490,31,98.75502008032129,96.60771027236451,2.1473098079567765,29.0,2.233066640391082,1.787638644435674,2.650184378576405,0.0,126,2471,2.2314004625772577,12,2.446869946869947,7,2.4547074547074548,True,PASSA
CS_2x3,lay,fav<=1.40,U25>2.20,fav casa,Todos,218,1,99.54128440366972,96.93633867904397,2.6049457246257512,32.0,2.691523992651525,1.5398206631561648,3.217329277067247,0.0,80,218,2.691523992651525,0,,0,,True,INCONCLUSIVO (perdas<5)
CS_0x3,lay,fav<=1.40,Todos,fav casa,Todos,460,1,99.78260869565217,90.84820935594666,8.934399339705513,10.5,9.861001680041447,9.27298022920465,10.262988561658355,0.0,93,460,9.861001680041447,0,,0,,True,INCONCLUSIVO (perdas<5)
CS_0x3,lay,fav<=1.40,Todos,fav casa,TOP 3,236,1,99.57627118644068,90.08259107666561,9.49368010977507,9.6,10.56219640746293,9.47799490245802,11.230905527574539,0.0,93,236,10.56219640746293,0,,0,,True,INCONCLUSIVO (perdas<5)
CS_1x3,lay,Todos,U25<=1.60,fav casa,TOP 3,229,0,100.0,96.90314491877699,3.0968550812230156,32.0,3.198575459873903,3.118455970564773,3.2797111287755802,0.0,95,228,3.2013430383489307,1,2.5675675675675675,0,,True,INCONCLUSIVO (perdas<5)
CS_1x3,lay,Todos,U25 1.60-2.20,Todos,Todos,4082,108,97.35423811856933,96.1917668513252,1.162471267244125,26.0,1.2255919928248205,0.6232780962510889,1.7755254691554998,0.0,231,2996,2.2125828273265835,562,-1.753664372016483,524,-1.222275303218061,True,PASSA
