Data,Liga,Home,Away,odd_lay,p,EV,fonte_Odd_CS_0x0,casamento,universo,placar,fonte_placar,Resultado,PnL,Em_Claude
2026-09-09,USA 1,Austin FC,Colorado Rapids,15.5,0.9414,0.045,b365 (11.0),EXATO,Base consolidada B365 + cache_bf (.cache_base_betfair),1x1,b365 + betfair,GREEN,0.0655,NAO
2026-09-09,SWEDEN 2,Sandviken,Oddevold,18.0,0.9495,0.0429,b365 (17.0),FUZZY (0.93),Base consolidada B365 + feed_diario (2026-09-09),0x1,b365 + betfair,GREEN,0.0559,NAO
2026-09-10,SWEDEN 2,Ostersund,Brage,15.5,0.943,0.0692,b365 (11.0),EXATO,Base consolidada B365 + cache_bf (.cache_base_betfair),1x1,b365 + betfair,GREEN,0.0655,NAO
2026-09-11,CZECH 2,Pribram,Ostrava B,19.5,0.9536,0.0479,b365 (15.0),FUZZY (0.82),Base consolidada B365 + feed_diario (2026-09-11),1x3,b365 + betfair,GREEN,0.0514,NAO
2026-09-12,JAPAN 1,Gamba Osaka,FC Tokyo,19.0,0.9689,0.36,b365 (13.0),FUZZY (0.88),Base consolidada B365 + feed_diario (2026-09-12),0x2,b365 + betfair,GREEN,0.0528,SIM
2026-09-12,ENGLAND 5,Woking,Altrincham,15.5,0.9577,0.2961,b365 (12.0),EXATO,Base consolidada B365 + feed_diario (2026-09-12),5x1,b365 + betfair,GREEN,0.0655,SIM
2026-09-12,TURKEY 1,Eyupspor,Rizespor,14.5,0.9494,0.2186,b365 (11.0),EXATO,Base consolidada B365 + feed_diario (2026-09-12),0x2,b365 + betfair,GREEN,0.0704,SIM
2026-09-12,FINLAND 1,Jaro,SJK,15.0,0.9494,0.1933,b365 (13.0),EXATO,Base consolidada B365 + feed_diario (2026-09-12),1x1,b365 + betfair,GREEN,0.0679,SIM
2026-09-12,CZECH 1,Bohemians,Slovacko,15.0,0.9483,0.1767,b365 (11.0),EXATO,Base consolidada B365 + cache_bf (.cache_base_betfair),2x0,b365 + betfair,GREEN,0.0679,SIM
2026-09-12,ITALY 2,Catanzaro,Carrarese,15.0,0.9466,0.152,b365 (11.0),EXATO,Base consolidada B365 + feed_diario (2026-09-12),1x0,b365 + betfair,GREEN,0.0679,SIM
2026-09-12,ROMANIA 2,CSC Dumbravita,CSM Slatina,16.5,0.9493,0.1167,b365 (11.0),FUZZY (0.96),Base consolidada B365 + feed_diario (2026-09-12),0x2,b365 + betfair,GREEN,0.0613,SIM
2026-09-12,SCOTLAND CUP,Kilmarnock,Aberdeen,16.0,0.9473,0.1095,b365 (13.0),EXATO,Base consolidada B365 + cache_bf (.cache_base_betfair),1x1,b365 + betfair,GREEN,0.0633,NAO
2026-09-12,ITALY 2,Cesena,Cremonese,13.0,0.9332,0.0846,b365 (11.0),EXATO,Base consolidada B365 + cache_bf (.cache_base_betfair),2x2,b365 + betfair,GREEN,0.0792,SIM
2026-09-13,ITALY 2,Avellino,Palermo,13.5,0.9462,0.227,b365 (11.0),EXATO,Base consolidada B365 + cache_bf (.cache_base_betfair),1x1,b365 + betfair,GREEN,0.076,SIM
2026-09-13,JAPAN 1,Urawa Reds,Okayama,16.0,0.9495,0.1439,b365 (11.0),FUZZY (0.86),Base consolidada B365 + feed_diario (2026-09-13),1x2,b365 + betfair,GREEN,0.0633,SIM
2026-09-13,SWITZERLAND 1,Lausanne,Servette,16.0,0.9494,0.1427,b365 (11.0),EXATO,Base consolidada B365 + feed_diario (2026-09-13),0x1,b365 + betfair,GREEN,0.0633,SIM
2026-09-13,SWEDEN 1,Elfsborg,Kalmar,16.0,0.9452,0.0764,b365 (11.0),FUZZY (0.93),Base consolidada B365 + feed_diario (2026-09-13),1x0,b365 + betfair,GREEN,0.0633,NAO
2026-09-13,CZECH 1,Teplice,Slavia Prague,16.5,0.9462,0.0657,b365 (17.0),EXATO,Base consolidada B365 + feed_diario (2026-09-13),0x2,b365 + betfair,GREEN,0.0613,SIM
2026-09-15,ENGLAND CUP,Peterborough,Barnsley,16.5,0.9704,0.4626,b365 (21.0),EXATO,Base consolidada B365 + feed_diario (2026-09-15),3x3,b365 + betfair,GREEN,0.0613,SIM
2026-09-15,ENGLAND 5,Sutton,Eastleigh,15.0,0.9564,0.2987,b365 (11.0),EXATO,Base consolidada B365 + cache_bf (.cache_base_betfair),2x1,b365 + betfair,GREEN,0.0679,SIM
2026-09-15,ENGLAND 5,Boston Utd,Woking,18.5,0.963,0.2679,b365 (12.0),EXATO,Base consolidada B365 + feed_diario (2026-09-15),1x1,b365 + betfair,GREEN,0.0543,SIM
2026-09-15,ENGLAND CUP,West Ham,Fulham,20.0,0.9622,0.1969,b365 (17.0),EXATO,Base consolidada B365 + feed_diario (2026-09-15),2x3,b365 + betfair,GREEN,0.05,NAO
2026-09-15,SCOTLAND 1,Motherwell,Aberdeen,19.5,0.958,0.1323,b365 (13.0),EXATO,Base consolidada B365 + feed_diario (2026-09-15),0x4,b365 + betfair,GREEN,0.0514,SIM
2026-09-16,ENGLAND 5,Altrincham,Hartlepool,15.5,0.9674,0.4465,b365 (12.0),EXATO,Base consolidada B365 + feed_diario (2026-09-16),2x1,b365 + betfair,GREEN,0.0655,SIM
2026-09-16,ENGLAND 5,Kidderminster,Gateshead,18.5,0.9628,0.2635,b365 (13.0),EXATO,Base consolidada B365 + feed_diario (2026-09-16),1x0,b365 + betfair,GREEN,0.0543,SIM
2026-09-16,SPAIN 1,Atl. Madrid,Osasuna,18.0,0.9536,0.1175,b365 (15.0),EXATO,Base consolidada B365 + cache_bf (.cache_base_betfair),4x0,b365 + betfair,GREEN,0.0559,SIM
2026-09-19,ENGLAND 1,Tottenham,Aston Villa,17.0,0.953,0.157,b365 (15.0),EXATO,Endpoint diario ao vivo (picks_0x0_2026-09-19.csv),2x3,placares_ft (VPS) + betfair,GREEN,0.0594,SIM
2026-09-20,DENMARK 1,Brondby,FC Copenhagen,18.5,0.952,0.065,b365 (15.0),EXATO,Endpoint diario ao vivo (picks_0x0_2026-09-20.csv),0x1,placares_ft (VPS) + betfair,GREEN,0.0543,SIM
