Data_Arquivo,Horario_Entrada,Liga,Jogo,Metodo,Fonte_Dados,Odd_Exec,Responsabilidade_Sugerida_R$,Resultado_1_0,Placar_FT,Match_Tipo,Swap,Matched,Mes_Ref,Odd_Base,1/0,PnL_Linha,Lucro_Ciclo,Resets_Teto_Acum,__odd_signal,__result,__odd_exec,__liquidity,__date,Status_Execucao,Skip_Reason,Lucro_Acumulado,Base_Atual,Run_Atual,Level_Profit_Atual,Stake_Multiplier,Stake_Phase
2025-09-07,07:00,SPAIN 1,CF Talavera vs Ath Bilbao B,Lay_CS_0x1_B365,historico,8.03,250.0,1.0,1x1,alias_exact,False,True,2025-09,8.03,1.0,145.39986016346413,4389.384971406258,0,8.03,1.0,8.03,,2025-09-07,EXECUTED,,3442.703339101482,1000.0,1238.620199146515,1192.7033391014818,1.0,Fase_3_100pct
2025-09-07,09:00,SPAIN 2,Ceuta vs Huesca,Lay_CS_1x0_B365,historico,6.03,312.5,1.0,2x1,alias_exact,False,True,2025-09,6.03,1.0,230.24053403618123,4810.600211968575,0,6.03,1.0,6.03,,2025-09-07,EXECUTED,,3672.943873137663,1000.0,1000.0,1422.943873137663,1.0,Fase_3_100pct
2025-09-07,11:00,SPAIN 1,Osasuna B vs Ourense CF,Lay_CS_0x1_B365,historico,10.03,437.5,1.0,1x1,alias_exact,False,True,2025-09,10.03,1.0,103.5437430786268,5088.844831011124,0,10.03,1.0,10.03,,2025-09-07,EXECUTED,,3776.48761621629,1000.0,1103.543743078627,1526.48761621629,1.0,Fase_3_100pct
2025-09-07,11:15,SPAIN 2,Burgos CF vs Las Palmas,Lay_CS_0x1_B365,historico,8.03,375.0,1.0,0x0,alias_exact,False,True,2025-09,8.03,1.0,146.77288759296107,5483.255589013826,0,8.03,1.0,8.03,,2025-09-07,EXECUTED,,3923.260503809251,1000.0,1250.316630671588,1673.260503809251,1.0,Fase_3_100pct
2025-09-07,13:00,IRELAND 1,Shelbourne vs Galway,Lay_CS_0x1_B365,historico,11.03,500.0,1.0,1x0,alias_exact,False,True,2025-09,11.03,1.0,116.55494014735145,5796.4641321336185,0,11.03,1.0,11.03,,2025-09-07,EXECUTED,,4039.8154439566024,1000.0,1366.8715708189395,1789.8154439566026,1.0,Fase_3_100pct
2025-09-08,15:30,SPAIN 2,Eibar vs Andorra,Lay_CS_0x1_B365,historico,8.53,250.0,1.0,2x0,alias_exact,False,True,2025-09,8.53,1.0,169.72442479624283,6252.550675999293,0,8.53,1.0,8.53,,2025-09-08,EXECUTED,,4209.539868752845,1000.0,1000.0,1959.5398687528455,1.0,Fase_3_100pct
2025-09-11,14:00,ICELAND 1,Akranes vs Breidablik,Lay_CS_0x1_B365,historico,10.03,250.0,1.0,3x0,alias_exact,False,True,2025-09,10.03,1.0,103.5437430786268,7005.657873206396,0,10.03,1.0,10.03,,2025-09-11,EXECUTED,,4313.083611831472,1000.0,1103.543743078627,2063.0836118314724,1.0,Fase_3_100pct
2025-09-12,07:00,JAPAN 1,Vissel Kobe vs Kashiwa Reysol,Lay_CS_0x1_B365,historico,9.03,250.0,1.0,0x0,alias_exact,False,True,2025-09,9.03,1.0,128.49481939956615,7326.225149593525,0,9.03,1.0,9.03,,2025-09-12,EXECUTED,,4441.578431231038,1000.0,1232.038562478193,2191.5784312310384,1.0,Fase_3_100pct
2025-09-12,13:00,AUSTRIA 2,Kapfenberg vs Hertha Wels,Lay_CS_0x1_B365,historico,10.03,375.0,1.0,3x2,alias_exact,False,True,2025-09,10.03,1.0,127.56988437620272,7644.4849095947,0,10.03,1.0,10.03,,2025-09-12,EXECUTED,,4569.148315607241,1000.0,1359.6084468543957,2319.1483156072413,1.0,Fase_3_100pct
2025-09-14,07:00,SOUTH KOREA 1,Anyang vs Jeju SK,Lay_CS_0x1_B365,historico,8.53,250.0,1.0,2x1,alias_exact,False,True,2025-09,8.53,1.0,168.82256279002127,9377.287457931978,0,8.53,1.0,8.53,,2025-09-14,EXECUTED,,4737.970878397262,1000.0,1000.0,2487.970878397263,1.0,Fase_3_100pct
