m_l0,m_l1,m_odd_low_le9,m_odd_mid_9a10_5,m_odd_high_gt10_5,anti_martingale,cut_after_first_red_day,Ops_total,Ops_skip,WR_%,PnL_R$,ROI_%,DD_Max_R$,Delta_PnL_vs_Base_R$,Delta_DD_vs_Base_R$,Score_RiskAdj
0.95,0.9,1.0,1.05,0.95,0.1,False,527,0,93.36,9200.56,4.85,1118.97,555.72,165.96,522.53
0.95,0.9,1.0,1.05,0.95,0.1,True,527,37,93.36,8296.15,4.757,1220.72,-348.69,267.7,-402.2269
0.95,0.9,1.0,1.05,1.0,0.0,False,527,0,93.36,8270.95,4.916,904.8,-373.89,-48.22,-364.2447
0.95,0.9,1.0,1.05,1.0,0.0,True,527,37,93.36,7421.38,4.827,1006.55,-1223.45,53.53,-1234.16
0.95,0.9,1.0,1.05,1.0,0.05,False,527,0,93.36,8766.9,4.887,1009.18,122.06,56.17,110.8291
0.95,0.9,1.0,1.05,1.0,0.05,True,527,37,93.36,7886.84,4.796,1110.93,-758.0,157.91,-789.5789
0.95,0.9,1.0,1.05,1.0,0.1,False,527,0,93.36,9262.85,4.862,1115.92,618.01,162.9,585.4326
0.95,0.9,1.0,1.05,1.0,0.1,True,527,37,93.36,8352.3,4.769,1217.66,-292.54,264.65,-345.4682
0.95,0.9,1.05,0.95,0.85,0.0,False,527,0,93.36,8142.29,4.915,915.67,-502.54,-37.34,-495.0723
0.95,0.9,1.05,0.95,0.85,0.0,True,527,37,93.36,7360.75,4.859,1015.12,-1284.08,62.11,-1296.5043
0.95,0.9,1.05,0.95,0.85,0.05,False,527,0,93.36,8634.68,4.884,1020.38,-10.15,67.36,-23.6243
0.95,0.9,1.05,0.95,0.85,0.05,True,527,37,93.36,7823.39,4.824,1119.83,-821.44,166.81,-854.8062
0.95,0.9,1.05,0.95,0.85,0.1,False,527,0,93.36,9127.07,4.857,1125.08,482.24,172.07,447.8236
0.95,0.9,1.05,0.95,0.85,0.1,True,527,37,93.36,8286.03,4.794,1224.53,-358.8,271.52,-413.1081
0.95,0.9,1.05,0.95,0.9,0.0,False,527,0,93.36,8197.74,4.927,912.76,-447.1,-40.26,-439.0458
0.95,0.9,1.05,0.95,0.9,0.0,True,527,37,93.36,7410.66,4.871,1012.21,-1234.17,59.2,-1246.0127
0.95,0.9,1.05,0.95,0.9,0.05,False,527,0,93.36,8693.55,4.897,1017.39,48.72,64.38,35.8402
0.95,0.9,1.05,0.95,0.9,0.05,True,527,37,93.36,7876.42,4.836,1116.84,-768.42,163.83,-801.1811
0.95,0.9,1.05,0.95,0.9,0.1,False,527,0,93.36,9189.36,4.87,1122.02,544.53,169.01,510.7262
0.95,0.9,1.05,0.95,0.9,0.1,True,527,37,93.36,8342.18,4.806,1221.48,-302.66,268.46,-356.3494
0.95,0.9,1.05,0.95,0.95,0.0,False,527,0,93.36,8253.18,4.939,909.85,-391.65,-43.17,-383.0193
0.95,0.9,1.05,0.95,0.95,0.0,True,527,37,93.36,7460.57,4.882,1009.3,-1184.26,56.28,-1195.5212
0.95,0.9,1.05,0.95,0.95,0.05,False,527,0,93.36,8752.42,4.909,1014.41,107.58,61.39,95.3047
0.95,0.9,1.05,0.95,0.95,0.05,True,527,37,93.36,7929.45,4.848,1113.86,-715.39,160.84,-747.5559
0.95,0.9,1.05,0.95,0.95,0.1,False,527,0,93.36,9251.65,4.883,1118.96,606.82,165.95,573.6287
0.95,0.9,1.05,0.95,0.95,0.1,True,527,37,93.36,8398.33,4.818,1218.42,-246.51,265.4,-299.5906
0.95,0.9,1.05,0.95,1.0,0.0,False,527,0,93.36,8308.63,4.95,906.93,-336.21,-46.08,-326.9928
0.95,0.9,1.05,0.95,1.0,0.0,True,527,37,93.36,7510.48,4.894,1006.39,-1134.36,53.37,-1145.0297
0.95,0.9,1.05,0.95,1.0,0.05,False,527,0,93.36,8811.29,4.921,1011.42,166.45,58.4,154.7692
0.95,0.9,1.05,0.95,1.0,0.05,True,527,37,93.36,7982.48,4.86,1110.87,-662.36,157.86,-693.9308
0.95,0.9,1.05,0.95,1.0,0.1,False,527,0,93.36,9313.94,4.895,1115.91,669.11,162.89,636.5313
0.95,0.9,1.05,0.95,1.0,0.1,True,527,37,93.36,8454.47,4.83,1215.36,-190.36,262.34,-242.8319
0.95,0.9,1.05,1.0,0.85,0.0,False,527,0,93.36,8247.35,4.899,929.95,-397.48,-23.07,-392.8707
0.95,0.9,1.05,1.0,0.85,0.0,True,527,37,93.36,7436.84,4.833,1031.82,-1208.0,78.81,-1223.7582
0.95,0.9,1.05,1.0,0.85,0.05,False,527,0,93.36,8744.55,4.869,1037.17,99.71,84.15,82.8834
0.95,0.9,1.05,1.0,0.85,0.05,True,527,37,93.36,7903.94,4.799,1139.04,-740.89,186.02,-778.0982
0.95,0.9,1.05,1.0,0.85,0.1,False,527,0,93.36,9241.75,4.843,1144.38,596.91,191.37,558.6374
0.95,0.9,1.05,1.0,0.85,0.1,True,527,37,93.36,8371.04,4.769,1246.25,-273.79,293.24,-332.4382
0.95,0.9,1.05,1.0,0.9,0.0,False,527,0,93.36,8302.8,4.911,927.04,-342.04,-25.98,-336.8442
0.95,0.9,1.05,1.0,0.9,0.0,True,527,37,93.36,7486.75,4.844,1028.91,-1158.09,75.89,-1173.2666
0.95,0.9,1.05,1.0,0.9,0.05,False,527,0,93.36,8803.42,4.881,1034.18,158.58,81.16,142.3479
0.95,0.9,1.05,1.0,0.9,0.05,True,527,37,93.36,7956.97,4.811,1136.05,-687.87,183.04,-724.4731
0.95,0.9,1.05,1.0,0.9,0.1,False,527,0,93.36,9304.04,4.855,1141.32,659.2,188.31,621.54
0.95,0.9,1.05,1.0,0.9,0.1,True,527,37,93.36,8427.19,4.782,1243.2,-217.64,290.18,-275.6795
0.95,0.9,1.05,1.0,0.95,0.0,False,527,0,93.36,8358.24,4.923,924.12,-286.6,-28.89,-280.8177
0.95,0.9,1.05,1.0,0.95,0.0,True,527,37,93.36,7536.66,4.856,1026.0,-1108.18,72.98,-1122.7751
0.95,0.9,1.05,1.0,0.95,0.05,False,527,0,93.36,8862.28,4.894,1031.19,217.45,78.18,201.8124
