Date,Horario,Liga,Home,Away,Odd_Lay,Prob,Metodo,Placar_Final,Status,PnL
2026-07-13,14:00:00,SWEDEN 1,Djurgardens,Halmstads,75.0,97.8,RF,,PENDENTE,
2026-07-13,08:00:00,CHINA 1,Ningbo Professional,Foshan Nanshi FC,24.0,95.6,RF,,PENDENTE,
2026-07-14,16:00:00,WORLD WORLD CUP,France,Spain,14.0,95.7,RF+Trader,0-2,ENCERRADO,0.94
2026-07-14,18:30:00,ECUADOR 1,Macara,Mushuc Runa,12.5,93.5,RF+Trader,2-1,ENCERRADO,0.94
2026-07-14,21:00:00,ECUADOR 1,Manta FC,Delfin,7.6,89.5,RF,,PENDENTE,
2026-07-14,08:35:00,CHINA 1,Zhejiang Greentown,Qingdao Hainiu,40.0,95.8,RF,,PENDENTE,
2026-07-14,19:00:00,BOLIVIA 1,CDT Real Oruro,Always Ready,24.0,88.4,RF,,PENDENTE,
2026-07-14,21:00:00,BOLIVIA 1,Blooming Santa Cruz,CD Gualberto Villarroel,50.0,96.0,RF,,PENDENTE,
2026-07-15,16:00:00,WORLD WORLD CUP,England,Argentina,9.6,95.9,RF+Trader,1-2,ENCERRADO,0.94
2026-07-15,20:00:00,USA 1,Miami FC,Indy Eleven,18.5,91.9,RF+Trader,2-0,ENCERRADO,0.94
2026-07-15,21:00:00,BOLIVIA 1,The Strongest,Oriente Petrolero,85.0,98.2,RF+Trader,2-1,ENCERRADO,0.94
2026-07-15,14:00:00,ECUADOR 1,Libertad FC,Tecnico Universitario,10.0,89.6,RF,,PENDENTE,
2026-07-15,19:00:00,BOLIVIA 1,Real Potosi,San Antonio Bulo Bulo,32.0,95.6,RF,,PENDENTE,
2026-07-15,19:00:00,ECUADOR 1,CD Leones del Norte,Deportivo Cuenca,10.5,92.7,RF,,PENDENTE,
2026-07-15,19:00:00,ECUADOR 1,Univ Catolica (Ecu),LDU,11.5,90.2,RF,,PENDENTE,
2026-07-15,20:30:00,USA 1,Sporting Club Jacksonvil,Pittsburgh Riverhounds,9.0,88.2,RF,,PENDENTE,
2026-07-15,21:30:00,ECUADOR 1,Barcelona (Ecu),Guayaquil City,26.0,96.9,RF,,PENDENTE,
2026-07-16,20:30:00,USA 1,CF Montreal,Toronto FC,16.5,94.2,RF+Trader,0-0,ENCERRADO,0.94
2026-07-16,21:30:00,USA 1,Chicago Fire,Vancouver Whitecaps,21.0,94.5,RF+Trader,,PENDENTE,
2026-07-16,22:00:00,MEXICO 1,Necaxa,Atlante,17.5,93.9,RF+Trader,,PENDENTE,
2026-07-16,23:30:00,USA 1,Seattle Sounders,Portland Timbers,30.0,95.9,RF+Trader,1-5,ENCERRADO,0.94
2026-07-16,21:30:00,USA 1,St Louis City SC,Kansas City,36.0,96.1,RF,,PENDENTE,
2026-07-16,21:00:00,ECUADOR 1,Orense Sporting Club,Emelec,12.0,92.7,RF,,PENDENTE,
2026-07-16,20:00:00,BRAZIL 2,CRB,Nautico PE,15.5,93.8,RF,,PENDENTE,
2026-07-16,18:30:00,ECUADOR 1,Aucas,Independiente (Ecu),8.6,88.9,RF,,PENDENTE,
2026-07-16,19:30:00,BRAZIL 1,Botafogo FR,Santos,13.5,91.7,RF,,PENDENTE,
2026-07-16,16:00:00,BOLIVIA 1,Academia de Balompie Bo,Club Independiente Petr,28.0,94.5,RF,,PENDENTE,
2026-07-16,14:00:00,NORWAY 1,Valerenga,Aalesunds,30.0,94.3,RF,,PENDENTE,
2026-07-16,19:30:00,BRAZIL 1,EC Vitoria Salvador,Vasco Da Gama,11.0,90.0,RF,,PENDENTE,
2026-07-17,08:00:00,CHINA 1,Changchun Yatai,Wuxi Wugou,16.0,94.6,RF+Trader,1-5,ENCERRADO,0.94
2026-07-17,08:35:00,CHINA 1,Henan Songshan Longmen,Qingdao Hainiu,60.0,98.0,RF+Trader,5-1,ENCERRADO,0.94
2026-07-17,13:00:00,BULGARIA 1,Spartak Varna,CSKA 1948 Sofia,9.0,88.5,RF+Trader,,PENDENTE,
2026-07-17,14:00:00,SWEDEN 1,Mjallby,Vasteras SK,19.5,94.0,RF+Trader,0-0,ENCERRADO,0.94
2026-07-17,15:00:00,SERBIA 1,Zeleznicar Pancevo,Radnicki Nis,17.0,93.5,RF+Trader,,PENDENTE,
2026-07-17,17:15:00,PERU 1,Sporting Cristal,Deportivo Garcilaso,38.0,96.0,RF+Trader,1-0,ENCERRADO,0.94
2026-07-17,19:00:00,BRAZIL 2,Juventude,Cuiaba,11.0,94.0,RF+Trader,2-0,ENCERRADO,0.94
2026-07-17,19:00:00,BRAZIL 2,Sao Bernardo,Avai,13.5,94.0,RF+Trader,1-1,ENCERRADO,0.94
2026-07-17,20:00:00,BRAZIL 1,Mirassol,Gremio,14.5,94.5,RF+Trader,2-1,ENCERRADO,0.94
2026-07-17,21:00:00,BRAZIL 2,Londrina,Botafogo SP,9.0,91.5,RF+Trader,0-0,ENCERRADO,0.94
2026-07-17,21:00:00,ECUADOR 1,Delfin,Macara,17.0,91.2,RF+Trader,2-1,ENCERRADO,0.94
2026-07-17,21:10:00,USA 1,Nashville SC,Atlanta Utd,25.0,96.5,RF+Trader,1-0,ENCERRADO,0.94
2026-07-17,22:00:00,MEXICO 1,Leon,Atlas,32.0,91.5,RF+Trader,,PENDENTE,
2026-07-17,15:30:00,ROMANIA 1,FCSB,Arges Pitesti,21.0,94.5,RF,,PENDENTE,
2026-07-17,19:00:00,BRAZIL 2,America MG,Ceara SC Fortaleza,10.5,90.4,RF,,PENDENTE,
2026-07-17,19:30:00,BRAZIL 1,Bahia,Chapecoense,29.0,96.0,RF,,PENDENTE,
2026-07-17,19:30:00,URUGUAY 1,Nacional (Uru),Wanderers (Uru),26.0,95.7,RF,,PENDENTE,
2026-07-17,20:00:00,BRAZIL 1,Fluminense,Red Bull Bragantino,18.0,94.7,RF,,PENDENTE,
2026-07-17,21:00:00,BRAZIL 2,Fortaleza EC,Novorizontino,13.0,91.9,RF,,PENDENTE,
2026-07-17,15:15:00,SLOVENIA 1,NK Celje,Mura,40.0,96.3,RF,,PENDENTE,
2026-07-17,22:00:00,MEXICO 1,Atletico San Luis,Cruz Azul,9.8,88.4,RF,,PENDENTE,
2026-07-17,08:00:00,CHINA 1,Qingdao Youth Island,Chengdu Rongcheng,13.0,88.3,RF,,PENDENTE,
2026-07-17,22:00:00,PERU 1,Cienciano,Melgar,22.0,93.2,RF,,PENDENTE,
2026-07-17,00:10:00,MEXICO 1,Tijuana,Tigres,9.4,89.2,RF,,PENDENTE,
2026-07-17,08:00:00,CHINA 1,Suzhou Dongwu,Shenzhen Juniors FC,10.5,88.3,RF,,PENDENTE,
2026-07-17,08:30:00,CHINA 1,Foshan Nanshi FC,Nantong Zhiyun F.C,7.4,86.9,RF,,PENDENTE,
2026-07-17,08:30:00,CHINA 1,Shijiazhuang Gongfu FC,Yanbian Longding,7.8,89.6,RF,,PENDENTE,
2026-07-17,08:35:00,CHINA 1,Beijing Guoan,Liaoning Tieren FC,48.0,95.9,RF,,PENDENTE,
2026-07-17,15:00:00,URUGUAY 1,Albion FC,Juventud De Las Piedras,12.5,92.3,RF,,PENDENTE,
2026-07-17,09:00:00,CHINA 1,Yunnan Yukun,Shanghai Port FC,27.0,89.6,RF,,PENDENTE,
2026-07-17,13:00:00,SLOVENIA 1,Nafta Lendava,Koper,11.5,87.3,RF,,PENDENTE,
2026-07-17,14:00:00,SWEDEN 1,IFK Goteborg,Brommapojkarna,18.5,91.9,RF,,PENDENTE,
2026-07-17,15:00:00,PERU 1,FC Cajamarca,Juan Pablo II College,18.0,91.8,RF,,PENDENTE,
2026-07-17,12:30:00,ROMANIA 1,FC Voluntari,Botosani,11.5,91.0,RF,,PENDENTE,
2026-07-17,23:25:00,USA 1,LA Galaxy,Los Angeles FC,14.0,89.1,RF,,PENDENTE,
2026-07-18,08:35:00,CHINA 1,Dalian Yingbo,Shandong Taishan,32.0,95.7,RF+Trader,3-1,ENCERRADO,0.94
2026-07-18,10:00:00,SWEDEN 1,AIK,GAIS,13.0,92.0,RF+Trader,2-0,ENCERRADO,0.94
2026-07-18,11:00:00,FINLAND 1,AC Oulu,Gnistan,14.5,93.0,RF+Trader,0-2,ENCERRADO,0.94
2026-07-18,11:00:00,FINLAND 1,SJK,KuPS,16.5,93.1,RF+Trader,0-2,ENCERRADO,0.94
2026-07-18,11:00:00,NORWAY 1,Start,Rosenborg,12.0,93.3,RF+Trader,0-3,ENCERRADO,0.94
2026-07-18,13:00:00,NORWAY 1,Molde,Brann,22.0,93.1,RF+Trader,1-2,ENCERRADO,0.94
2026-07-18,13:00:00,NORWAY 1,Viking,Sandefjord,60.0,95.8,RF+Trader,2-1,ENCERRADO,0.94
2026-07-18,16:00:00,BRAZIL 2,Ponte Preta,Goias,6.6,92.3,RF+Trader,1-2,ENCERRADO,0.94
2026-07-18,16:00:00,URUGUAY 1,Penarol,Boston River,24.0,95.6,RF+Trader,3-0,ENCERRADO,0.94
2026-07-18,16:15:00,ICELAND 1,Valur,Fram,28.0,91.5,RF+Trader,2-3,ENCERRADO,0.94
2026-07-18,18:00:00,BRAZIL 2,Atletico GO,Athletic Club,12.5,93.8,RF+Trader,0-0,ENCERRADO,0.94
2026-07-18,18:00:00,WORLD WORLD CUP,France,England,28.0,95.8,RF+Trader,4-6,ENCERRADO,0.94
2026-07-18,21:30:00,BOLIVIA 1,Aurora,Oriente Petrolero,38.0,97.0,RF+Trader,2-2,ENCERRADO,0.94
2026-07-18,22:05:00,MEXICO 1,Monterrey,Santos Laguna,30.0,95.6,RF+Trader,,PENDENTE,
2026-07-18,22:07:00,MEXICO 1,Guadalajara,Toluca,17.0,94.1,RF+Trader,,PENDENTE,
2026-07-18,16:00:00,BRAZIL 4,Nacional AM,AD Iguatu,12.5,93.7,RF,,PENDENTE,
2026-07-18,16:00:00,BRAZIL 4,EC Sao Jose Porto Alegre,Treze,11.5,93.0,RF,,PENDENTE,
2026-07-18,16:00:00,BRAZIL 4,Cianorte PR,Asa AL,9.0,92.2,RF,,PENDENTE,
2026-07-18,16:00:00,BRAZIL 2,Sport Recife,Operario PR,13.5,93.9,RF,2-2,ENCERRADO,0.94
2026-07-18,15:15:00,ROMANIA 1,Universitatea Craiova,UTA Arad,16.0,94.0,RF,,PENDENTE,
2026-07-18,15:15:00,SLOVENIA 1,Olimpija,NK Bravo,21.0,94.9,RF,,PENDENTE,
2026-07-18,15:15:00,PERU 1,Asociacion Deportiva Ta,Universitario de Deport,9.4,90.1,RF,,PENDENTE,
2026-07-18,15:15:00,BULGARIA 1,Ludogorets,Lokomotiv Plovdiv,36.0,96.3,RF,,PENDENTE,
2026-07-18,16:00:00,ECUADOR 1,Deportivo Cuenca,Univ Catolica (Ecu),9.8,90.0,RF,,PENDENTE,
2026-07-18,16:00:00,BRAZIL 2,Criciuma,Vila Nova,14.5,94.7,RF,,PENDENTE,
2026-07-18,20:30:00,PERU 1,Cusco FC,Alianza Atletico,27.0,95.7,RF,,PENDENTE,
2026-07-18,17:30:00,PERU 1,Atletico Grau,UTC Cajamarca,16.5,94.6,RF,,PENDENTE,
2026-07-18,18:30:00,ECUADOR 1,LDU,CD Leones del Norte,30.0,96.1,RF,,PENDENTE,
2026-07-18,20:00:00,MEXICO 1,Pumas UNAM,Pachuca,13.5,88.8,RF,,PENDENTE,
2026-07-18,20:00:00,USA 1,Detroit City FC,Indy Eleven,16.5,93.5,RF,,PENDENTE,
2026-07-18,20:00:00,USA 1,Loudoun United FC,Tampa Bay Rowdies,12.0,87.4,RF,,PENDENTE,
2026-07-18,20:00:00,USA 1,Sporting Club Jacksonville,Brooklyn FC,15.5,89.9,RF,,PENDENTE,
2026-07-18,15:00:00,SERBIA 1,Zemun,Partizan Belgrade,9.0,88.8,RF,,PENDENTE,
2026-07-18,21:00:00,ECUADOR 1,Barcelona (ECU),Libertad FC,40.0,96.3,RF,,PENDENTE,
2026-07-18,15:00:00,SERBIA 1,FK Novi Pazar,FK Radnicki 1923,11.0,90.0,RF,,PENDENTE,
2026-07-18,13:00:00,SLOVENIA 1,NK Radomlje,NK Brinje Grosuplje,15.5,91.9,RF,,PENDENTE,
2026-07-18,00:00:00,MEXICO 1,FC Juarez,Puebla,23.0,94.2,RF,,PENDENTE,
2026-07-18,08:00:00,CHINA 1,Chongqing Tonglianglong,Zhejiang Greentown,14.5,89.5,RF,,PENDENTE,
2026-07-18,08:00:00,SWEDEN 2,Oddevold,Varbergs BoIS,15.0,91.5,RF,,PENDENTE,
2026-07-18,08:30:00,CHINA 1,Guangxi Hengchen,Shaanxi Union FC,13.5,92.6,RF,,PENDENTE,
2026-07-18,08:30:00,CHINA 1,Meizhou Hakka,Dalian Kun City FC,14.5,89.5,RF,,PENDENTE,
2026-07-18,08:30:00,CHINA 1,Nanjing City,Guangdong GZ-Power FC,10.5,88.6,RF,,PENDENTE,
2026-07-18,08:35:00,CHINA 1,Shanghai Shenhua,Tianjin Jinmen Tiger FC,36.0,97.0,RF,,PENDENTE,
2026-07-18,09:00:00,CHINA 1,Jiangxi Dingnan United,Ningbo Professional,11.0,89.5,RF,,PENDENTE,
2026-07-18,09:00:00,CHINA 1,Wuhan Three Towns,Shenzhen Peng City,14.5,88.3,RF,,PENDENTE,
2026-07-18,09:00:00,FINLAND 1,HJK Helsinki,VPS,17.0,92.6,RF,,PENDENTE,
2026-07-18,09:00:00,NORWAY 1,Ham-Kam,Tromso,9.2,88.6,RF,1-4,ENCERRADO,0.94
2026-07-18,13:00:00,USA 1,Pittsburgh Riverhounds,Louisville FC,9.8,89.3,RF,,PENDENTE,
2026-07-18,11:00:00,ESTONIA 1,Trans Narva,Parnu JK Vaprus,12.5,88.7,RF,,PENDENTE,
2026-07-18,11:00:00,NORWAY 1,Kristiansund,Sarpsborg,16.0,90.4,RF,,PENDENTE,
2026-07-18,11:00:00,NORWAY 1,Lillestrom,Kfum Oslo,24.0,94.4,RF,2-1,ENCERRADO,0.94
2026-07-18,12:00:00,SWEDEN 2,Osters,IK Brage,22.0,92.3,RF,,PENDENTE,
2026-07-18,12:30:00,ROMANIA 1,Otelul Galati,CFR Cluj,9.4,90.7,RF,,PENDENTE,
2026-07-18,12:30:00,URUGUAY 1,Progreso,Deportivo Maldonado,8.2,88.5,RF,,PENDENTE,
2026-07-18,13:00:00,BULGARIA 1,Septemvri,Arda,7.2,88.2,RF,,PENDENTE,
2026-07-18,13:00:00,ICELAND 1,Thor,Vikingur Reykjavik,30.0,88.9,RF,,PENDENTE,
2026-07-18,13:00:00,PERU 1,Cesar Vallejo Moquegua,Comerciantes Unidos,11.5,92.2,RF,,PENDENTE,
2026-07-18,10:00:00,SWEDEN 2,Ostersunds FK,Landskrona,14.5,92.6,RF,,PENDENTE,
2026-07-18,23:30:00,USA 1,Phoenix Rising FC,Monterey Bay FC,17.0,92.7,RF,,PENDENTE,
2026-07-19,10:00:00,SWEDEN 2,Varnamo,Ljungskile,13.5,91.0,RF+Trader,2-3,ENCERRADO,0.94
2026-07-19,11:00:00,BRAZIL 4,Sao Luiz,CSA,8.0,89.8,RF+Trader,0-0,ENCERRADO,0.94
2026-07-19,11:30:00,SWEDEN 1,Elfsborg,Sirius,12.5,91.3,RF+Trader,1-3,ENCERRADO,0.94
2026-07-19,11:30:00,SWEDEN 1,Hammarby,Degerfors,50.0,97.8,RF+Trader,4-0,ENCERRADO,0.94
2026-07-19,13:30:00,BULGARIA 1,Botev Vratsa,Cherno More,8.6,89.5,RF+Trader,,PENDENTE,
2026-07-19,16:00:00,WORLD WORLD CUP,Spain,Argentina,12.0,94.1,RF+Trader,1-0,ENCERRADO,0.94
2026-07-19,19:00:00,BRAZIL 4,America RN,Gama,13.0,93.9,RF+Trader,1-0,ENCERRADO,0.94
2026-07-19,21:00:00,PERU 1,Alianza Lima,Sport Huancayo,38.0,97.2,RF+Trader,2-1,ENCERRADO,0.94
2026-07-19,13:00:00,SLOVENIA 1,NK Aluminij,NK Maribor,14.0,87.4,RF,,PENDENTE,
2026-07-19,13:30:00,ROMANIA 1,ACS Petrolul 52,Dinamo Bucharest,8.2,89.2,RF,,PENDENTE,
2026-07-19,13:45:00,ECUADOR 1,Tecnico Universitario,Aucas,8.4,89.1,RF,,PENDENTE,
2026-07-19,14:00:00,SERBIA 1,Cukaricki,FK IMT Novi Beograd,13.0,91.5,RF,,PENDENTE,
2026-07-19,18:45:00,ECUADOR 1,Guayaquil City,Manta FC,11.0,92.3,RF,,PENDENTE,
2026-07-19,14:00:00,SERBIA 1,Vojvodina,OFK Beograd,24.0,94.6,RF,,PENDENTE,
2026-07-19,13:00:00,PERU 1,CD Los Chankas,Sport Boys (Per),14.0,93.1,RF,,PENDENTE,
2026-07-19,14:00:00,SERBIA 1,Radnik Surdulica,Mladost Lucani,14.0,93.8,RF,,PENDENTE,
2026-07-19,10:00:00,URUGUAY 1,Central Espanol,Cerro Largo FC,8.8,89.4,RF,,PENDENTE,
2026-07-19,12:30:00,FINLAND 1,Jaro,FC Inter,10.5,87.2,RF,,PENDENTE,
2026-07-19,12:00:00,BOLIVIA 1,CD Gualberto Villarroel,The Strongest,12.5,88.8,RF,,PENDENTE,
2026-07-19,11:30:00,SWEDEN 1,Halmstads,Hacken,14.0,87.4,RF,,PENDENTE,
2026-07-19,11:00:00,ROMANIA 1,Universitatea Cluj,Farul Constanta,14.0,91.8,RF,,PENDENTE,
2026-07-19,11:00:00,ICELAND 1,IBV,KA Akureyri,23.0,91.6,RF,,PENDENTE,
2026-07-19,11:00:00,ESTONIA 1,Kuressaare,Nomme Kalju,11.5,88.2,RF,,PENDENTE,
2026-07-19,10:00:00,SWEDEN 2,United IK Nordic,Orebro,17.5,93.4,RF,,PENDENTE,
2026-07-19,08:00:00,SWEDEN 2,Norrkoping,Sandvikens IF,36.0,94.9,RF,,PENDENTE,
2026-07-19,00:10:00,MEXICO 1,Queretaro,CF America,10.5,88.0,RF,,PENDENTE,
2026-07-19,21:15:00,ECUADOR 1,Independiente (Ecu),Emelec,36.0,95.9,RF,,PENDENTE,
2026-07-19,13:00:00,ESTONIA 1,Harju JK Laagri,Paide Linnameeskond,15.0,89.5,RF,,PENDENTE,
2026-07-20,12:00:00,FINLAND 1,TPS,Ilves,15.5,90.8,RF+Trader,1-3,ENCERRADO,0.94
2026-07-20,13:15:00,BULGARIA 1,Slavia Sofia,CSKA Sofia,8.2,88.5,RF+Trader,,PENDENTE,
2026-07-20,16:15:00,ICELAND 1,Hafnarfjordur,Breidablik,22.0,92.2,RF+Trader,0-0,ENCERRADO,0.94
2026-07-20,15:30:00,ROMANIA 1,Rapid Bucharest,ACS Sepsi OSK,18.5,94.5,RF,,PENDENTE,
2026-07-20,17:00:00,URUGUAY 1,Torque,Danubio,15.0,94.7,RF,,PENDENTE,
2026-07-20,16:15:00,ICELAND 1,Keflavik,IA Akranes,25.0,89.3,RF,,PENDENTE,
2026-07-20,16:00:00,ECUADOR 1,Mushuc Runa,Orense Sporting Club,14.5,93.8,RF,,PENDENTE,
2026-07-20,15:30:00,BULGARIA 1,Botev Plovdiv,Lokomotiv Sofia,19.5,93.1,RF,,PENDENTE,
2026-07-20,14:00:00,SWEDEN 1,Orgryte,Djurgardens,15.0,90.2,RF,,PENDENTE,
2026-07-20,14:00:00,SWEDEN 1,Kalmar FF,Malmo FF,15.5,89.5,RF,,PENDENTE,
2026-07-20,13:00:00,FINLAND 1,IFK Mariehamn,Lahti,10.5,87.2,RF,,PENDENTE,
2026-07-20,12:30:00,ROMANIA 1,FC Hunedoara,Csikszereda,13.5,93.8,RF,,PENDENTE,
2026-07-20,20:00:00,BOLIVIA 1,Nacional Potosi,CDT Real Oruro,40.0,95.4,RF,,PENDENTE,
2026-07-20,14:00:00,SWEDEN 2,Norrby IF,Sundsvall,15.0,93.1,RF,,PENDENTE,
2026-07-20,20:00:00,URUGUAY 1,Defensor Sporting,Liverpool Montevideo,8.8,89.5,RF,,PENDENTE,
2026-07-21,18:30:00,ECUADOR 1,Libertad FC,Delfin,12.0,92.8,RF+Trader,,PENDENTE,
2026-07-21,19:30:00,BRAZIL 2,Avai,America MG,11.5,92.1,RF+Trader,2-1,ENCERRADO,0.94
2026-07-21,19:30:00,BRAZIL 2,Novorizontino,Criciuma,11.5,92.8,RF+Trader,0-1,ENCERRADO,-10.5
2026-07-21,22:00:00,MEXICO 1,Cruz Azul,Puebla,32.0,96.9,RF+Trader,,PENDENTE,
2026-07-21,21:35:00,BRAZIL 2,Vila Nova,Fortaleza EC,10.5,90.9,RF,,PENDENTE,
2026-07-21,14:00:00,SWEDEN 2,Falkenbergs,Helsingborgs,22.0,91.8,RF,,PENDENTE,
2026-07-21,19:30:00,BRAZIL 1,Atletico MG,Bahia,15.0,93.7,RF,1-1,ENCERRADO,0.94
2026-07-21,21:00:00,ECUADOR 1,Univ Catolica (Ecu),Barcelona (Ecu),15.5,93.8,RF,,PENDENTE,
2026-07-22,14:00:00,NORWAY 1,Lillestrom,Viking,15.5,92.2,RF+Trader,,PENDENTE,
2026-07-22,20:30:00,BRAZIL 2,Goias,Sport Recife,12.5,92.5,RF+Trader,,PENDENTE,
2026-07-22,20:40:00,USA 1,FC Cincinnati,Vancouver Whitecaps,17.5,93.6,RF+Trader,,PENDENTE,
2026-07-22,20:40:00,USA 1,New England Revolution,Toronto FC,17.0,93.8,RF+Trader,,PENDENTE,
2026-07-22,21:30:00,BRAZIL 1,Sao Paulo,Athletico-PR,12.0,93.3,RF+Trader,,PENDENTE,
2026-07-22,21:30:00,USA 1,Nashville SC,CF Montreal,26.0,97.0,RF+Trader,,PENDENTE,
2026-07-22,22:40:00,USA 1,Austin FC,Seattle Sounders,13.5,94.0,RF+Trader,,PENDENTE,
2026-07-22,23:30:00,USA 1,Los Angeles FC,Real Salt Lake,24.0,95.1,RF+Trader,,PENDENTE,
2026-07-22,23:30:00,USA 1,Portland Timbers,FC Dallas,21.0,92.6,RF+Trader,,PENDENTE,
2026-07-22,23:30:00,USA 1,San Jose Earthquakes,Orlando City,40.0,95.7,RF+Trader,,PENDENTE,
2026-07-22,21:30:00,BRAZIL 1,Chapecoense,Flamengo,7.8,90.2,RF,,PENDENTE,
2026-07-22,21:30:00,BRAZIL 1,Internacional,Cruzeiro MG,12.0,91.2,RF,,PENDENTE,
2026-07-22,21:30:00,BRAZIL 2,Nautico PE,Londrina,15.5,94.3,RF,,PENDENTE,
2026-07-22,21:30:00,USA 1,Houston Dynamo,DC Utd,18.5,92.9,RF,,PENDENTE,
2026-07-22,22:00:00,USA 1,Colorado Switchbacks FC,Miami FC,48.0,95.8,RF,,PENDENTE,
2026-07-22,21:25:00,USA 1,Charlotte FC,Atlanta Utd,15.5,92.2,RF,,PENDENTE,
2026-07-22,22:40:00,USA 1,Colorado,San Diego FC,23.0,93.0,RF,,PENDENTE,
2026-07-22,23:30:00,USA 1,LA Galaxy,St Louis City SC,17.0,92.5,RF,,PENDENTE,
2026-07-22,21:30:00,USA 1,Kansas City,Minnesota Utd,14.0,90.6,RF,,PENDENTE,
2026-07-22,21:00:00,ECUADOR 1,Manta FC,LDU,6.6,87.8,RF,,PENDENTE,
2026-07-22,20:40:00,USA 1,Inter Miami CF,Chicago Fire,25.0,89.5,RF,,PENDENTE,
2026-07-22,20:30:00,USA 1,Columbus,New York City,13.5,92.5,RF,,PENDENTE,
2026-07-22,20:00:00,USA 1,Lexington SC,Oakland Roots,24.0,93.5,RF,,PENDENTE,
2026-07-22,19:30:00,BRAZIL 2,Operario PR,Ponte Preta,36.0,96.1,RF,,PENDENTE,
2026-07-22,19:30:00,BRAZIL 2,Ceara SC Fortaleza,CRB,12.0,92.2,RF,,PENDENTE,
2026-07-22,19:30:00,BRAZIL 1,Coritiba,SE Palmeiras,7.0,88.6,RF,,PENDENTE,
2026-07-22,18:30:00,ECUADOR 1,Independiente (Ecu),Tecnico Universitario,55.0,98.5,RF,,PENDENTE,
2026-07-22,16:00:00,ECUADOR 1,Macara,Deportivo Cuenca,11.5,92.2,RF,,PENDENTE,
2026-07-22,00:05:00,MEXICO 1,Toluca,Pumas UNAM,24.0,94.8,RF,,PENDENTE,
2026-07-22,20:40:00,USA 1,Philadelphia,New York Red Bulls,26.0,93.5,RF,,PENDENTE,
2026-07-23,19:30:00,ARGENTINA 1,Belgrano,Rosario Central,8.0,91.6,RF+Trader,,PENDENTE,
2026-07-23,19:30:00,BRAZIL 1,Corinthians,Remo,23.0,96.3,RF+Trader,,PENDENTE,
2026-07-23,19:30:00,BRAZIL 2,Athletic Club,Sao Bernardo,13.0,94.1,RF+Trader,,PENDENTE,
2026-07-23,21:00:00,ECUADOR 1,Emelec,Mushuc Runa,15.0,94.0,RF+Trader,,PENDENTE,
2026-07-23,21:30:00,BRAZIL 2,Botafogo SP,Juventude,9.2,93.0,RF+Trader,,PENDENTE,
2026-07-23,21:45:00,ARGENTINA 1,Defensa y Justicia,Aldosivi,13.0,93.4,RF+Trader,,PENDENTE,
2026-07-23,19:30:00,BRAZIL 1,Botafogo FR,EC Vitoria Salvador,18.5,94.8,RF,,PENDENTE,
2026-07-23,18:30:00,ECUADOR 1,Orense Sporting Club,Aucas,11.0,91.1,RF,,PENDENTE,
2026-07-23,18:30:00,ECUADOR 1,CD Leones del Norte,Guayaquil City,14.0,94.9,RF,,PENDENTE,
2026-07-24,13:00:00,FINLAND 1,Jaro,SJK,13.5,93.0,RF+Trader,,PENDENTE,
2026-07-24,13:00:00,POLAND 1,Radomiak Radom,Wieczysta Krakow,14.0,91.1,RF+Trader,,PENDENTE,
2026-07-24,13:00:00,POLAND 2,Polonia Bytom,Warta Poznan,20.0,93.9,RF+Trader,,PENDENTE,
2026-07-24,14:00:00,SWEDEN 1,Vasteras SK,Orgryte,27.0,94.8,RF+Trader,,PENDENTE,
2026-07-24,15:15:00,BULGARIA 1,Arda,Slavia Sofia,17.5,95.0,RF+Trader,,PENDENTE,
2026-07-24,16:00:00,POLAND 2,Odra Opole,Arka Gdynia,12.0,91.7,RF+Trader,,PENDENTE,
2026-07-24,17:00:00,ICELAND 1,Vikingur Reykjavik,Keflavik,75.0,96.5,RF+Trader,,PENDENTE,
2026-07-24,18:30:00,PARAGUAY 1,Cerro Porteno,Sportivo Trinidense,12.0,93.6,RF+Trader,,PENDENTE,
2026-07-24,19:00:00,ARGENTINA 1,Velez Sarsfield,Instituto,10.5,92.3,RF+Trader,,PENDENTE,
2026-07-24,19:30:00,URUGUAY 1,Nacional (Uru),Progreso,23.0,95.6,RF+Trader,,PENDENTE,
2026-07-24,15:45:00,IRELAND 2,Treaty United,Athlone Town,11.0,89.8,RF,,PENDENTE,
2026-07-24,15:45:00,IRELAND 2,UCD,Cork City,10.5,88.2,RF,,PENDENTE,
2026-07-24,16:00:00,IRELAND 1,St Patricks,Dundalk,26.0,95.6,RF,,PENDENTE,
2026-07-24,16:00:00,PARAGUAY 1,Club 2 de Mayo,Rubio Nu,9.4,91.5,RF,,PENDENTE,
2026-07-24,16:45:00,ARGENTINA 1,Gimnasia Mendoza,Central Cordoba (SdE),11.5,93.9,RF,,PENDENTE,
2026-07-24,17:00:00,PERU 1,Alianza Atletico,CD Los Chankas,21.0,94.4,RF,,PENDENTE,
2026-07-24,19:00:00,ARGENTINA 1,Racing Club,Gimnasia La Plata,13.0,93.5,RF,,PENDENTE,
2026-07-24,15:45:00,IRELAND 2,Kerry FC,Finn Harps,19.5,94.4,RF,,PENDENTE,
2026-07-24,19:00:00,URUGUAY 1,Torque,Danubio,15.0,93.6,RF,,PENDENTE,
2026-07-24,20:00:00,BOLIVIA 1,Aurora,Academia de Balompie Boliviano,85.0,96.2,RF,,PENDENTE,
2026-07-24,20:10:00,COLOMBIA 1,Llaneros FC,Deportivo Pereira,24.0,94.4,RF,,PENDENTE,
