mercado,lado,modelo,filtro,spread%,liquido,val_n,val_wr%,odd_real,val_roi%,val_ic95,val_p,passa_FDR,conf_n,conf_roi%,robusto_entre_modelos,APROVADO,motivo_reprovacao
CS_1x1,lay,rf,EV>0.05,19.3%,Nao,1035,91.2%,9.37,17.58%,"[1.2%, 33.1%]",0.019,False,23,31.96%,Nao,False,Mercado Ilíquido (Spread > 15%) | Reprovado FDR (p > FDR_thresh) | Instabilidade entre Modelos
CS_1x1,lay,lr,EV>0.05,19.3%,Nao,1301,91.2%,9.56,14.44%,"[-0.5%, 28.2%]",0.03,False,39,-21.54%,Nao,False,Mercado Ilíquido (Spread > 15%) | Reprovado FDR (p > FDR_thresh) | Colapso OOS (ROI Confirmação <= 0%) | Instabilidade entre Modelos
CS_1x1,lay,lightgbm,EV>0.05,19.3%,Nao,835,90.7%,9.02,14.04%,"[-5.1%, 31.8%]",0.0705,False,12,42.08%,Nao,False,Mercado Ilíquido (Spread > 15%) | Reprovado FDR (p > FDR_thresh) | Instabilidade entre Modelos
CS_0x0,back,poisson_lr,EV>0.05,30.2%,Nao,149,11.4%,10.38,12.89%,"[-36.3%, 64.7%]",0.32,False,0,0.00%,Nao,False,Mercado Ilíquido (Spread > 15%) | Reprovado FDR (p > FDR_thresh) | Colapso OOS (ROI Confirmação <= 0%) | Instabilidade entre Modelos
CS_0x0,lay,poisson_lasso,EV>0.05,30.2%,Nao,287,90.9%,9.73,12.39%,"[-18.9%, 40.9%]",0.21,False,0,0.00%,Nao,False,Mercado Ilíquido (Spread > 15%) | Reprovado FDR (p > FDR_thresh) | Colapso OOS (ROI Confirmação <= 0%) | Instabilidade entre Modelos
CS_0x0,back,poisson_dt,EV>0.05,30.2%,Nao,1119,9.4%,12.02,10.82%,"[-9.6%, 31.5%]",0.151,False,0,0.00%,Nao,False,Mercado Ilíquido (Spread > 15%) | Reprovado FDR (p > FDR_thresh) | Colapso OOS (ROI Confirmação <= 0%) | Instabilidade entre Modelos
CS_1x1,lay,lda,EV>0.05,19.3%,Nao,1349,90.3%,8.91,9.87%,"[-4.3%, 23.7%]",0.0845,False,32,-17.19%,Nao,False,Mercado Ilíquido (Spread > 15%) | Reprovado FDR (p > FDR_thresh) | Colapso OOS (ROI Confirmação <= 0%) | Instabilidade entre Modelos
O25,back,poisson_en,EV>0.05,4.8%,Sim,37,48.6%,2.32,9.78%,"[-26.1%, 48.7%]",0.312,False,0,0.00%,Sim,False,Reprovado FDR (p > FDR_thresh) | Colapso OOS (ROI Confirmação <= 0%)
1X2_A,lay,poisson_xgboost,EV>0.05,6.4%,Sim,592,57.4%,3.92,9.77%,"[-0.3%, 19.5%]",0.0305,False,0,0.00%,Sim,False,Reprovado FDR (p > FDR_thresh) | Colapso OOS (ROI Confirmação <= 0%)
CS_0x1,back,lda,EV>0.05,27.8%,Nao,1497,11.9%,9.7,9.10%,"[-6.4%, 25.2%]",0.1285,False,44,-20.91%,Nao,False,Mercado Ilíquido (Spread > 15%) | Reprovado FDR (p > FDR_thresh) | Colapso OOS (ROI Confirmação <= 0%) | Instabilidade entre Modelos
CS_0x1,back,et,EV>0.05,27.8%,Nao,1681,8.0%,13.49,8.98%,"[-9.3%, 26.7%]",0.174,False,51,-100.00%,Nao,False,Mercado Ilíquido (Spread > 15%) | Reprovado FDR (p > FDR_thresh) | Colapso OOS (ROI Confirmação <= 0%) | Instabilidade entre Modelos
O25,lay,poisson_en,EV>0.05,4.8%,Sim,95,69.5%,3.71,6.85%,"[-24.8%, 37.0%]",0.3495,False,0,0.00%,Sim,False,Reprovado FDR (p > FDR_thresh) | Colapso OOS (ROI Confirmação <= 0%)
CS_0x1,lay,dt,EV>0.05,27.8%,Nao,2008,92.9%,13.8,6.41%,"[-9.6%, 21.0%]",0.2025,False,173,17.54%,Nao,False,Mercado Ilíquido (Spread > 15%) | Reprovado FDR (p > FDR_thresh) | Instabilidade entre Modelos
CS_1x1,lay,dt,EV>0.05,19.3%,Nao,1341,90.1%,9.65,6.35%,"[-8.5%, 21.3%]",0.225,False,29,95.00%,Nao,False,Mercado Ilíquido (Spread > 15%) | Reprovado FDR (p > FDR_thresh) | Instabilidade entre Modelos
CS_1x1,back,nb,EV>0.05,19.3%,Nao,13233,13.0%,8.16,6.30%,"[1.2%, 11.1%]",0.009,False,611,-18.85%,Sim,False,Mercado Ilíquido (Spread > 15%) | Reprovado FDR (p > FDR_thresh) | Colapso OOS (ROI Confirmação <= 0%)
CS_1x0,lay,lr,EV>0.05,21.9%,Nao,494,92.7%,14.08,5.99%,"[-26.4%, 34.7%]",0.3275,False,10,-89.50%,Nao,False,Mercado Ilíquido (Spread > 15%) | Reprovado FDR (p > FDR_thresh) | Colapso OOS (ROI Confirmação <= 0%) | Instabilidade entre Modelos
CS_0x1,lay,lda,EV>0.05,27.8%,Nao,860,93.7%,14.44,5.81%,"[-18.3%, 29.3%]",0.2985,False,72,-21.46%,Nao,False,Mercado Ilíquido (Spread > 15%) | Reprovado FDR (p > FDR_thresh) | Colapso OOS (ROI Confirmação <= 0%) | Instabilidade entre Modelos
O25,lay,poisson_lasso,EV>0.05,4.8%,Sim,152,44.1%,2.06,5.67%,"[-9.6%, 20.4%]",0.226,False,0,0.00%,Sim,False,Reprovado FDR (p > FDR_thresh) | Colapso OOS (ROI Confirmação <= 0%)
CS_0x0,lay,poisson_xgboost,EV>0.05,30.2%,Nao,1584,92.7%,14.69,5.50%,"[-11.9%, 21.7%]",0.2565,False,0,0.00%,Nao,False,Mercado Ilíquido (Spread > 15%) | Reprovado FDR (p > FDR_thresh) | Colapso OOS (ROI Confirmação <= 0%) | Instabilidade entre Modelos
BTTS_Y,back,gbc,EV>0.05,6.8%,Sim,1492,45.0%,2.42,5.28%,"[-0.8%, 11.4%]",0.041,False,85,-8.41%,Sim,False,Reprovado FDR (p > FDR_thresh) | Colapso OOS (ROI Confirmação <= 0%)
CS_0x0,lay,poisson_lightgbm,EV>0.05,30.2%,Nao,1586,89.2%,9.47,5.15%,"[-7.8%, 17.5%]",0.2265,False,0,0.00%,Nao,False,Mercado Ilíquido (Spread > 15%) | Reprovado FDR (p > FDR_thresh) | Colapso OOS (ROI Confirmação <= 0%) | Instabilidade entre Modelos
CS_0x0,lay,poisson_gbr,EV>0.05,30.2%,Nao,1668,89.3%,9.79,4.89%,"[-8.7%, 18.7%]",0.2295,False,0,0.00%,Nao,False,Mercado Ilíquido (Spread > 15%) | Reprovado FDR (p > FDR_thresh) | Colapso OOS (ROI Confirmação <= 0%) | Instabilidade entre Modelos
1X2_D,lay,rf,EV>0.05,6.4%,Sim,487,79.9%,5.76,4.56%,"[-14.4%, 22.1%]",0.309,False,19,95.00%,Sim,False,Reprovado FDR (p > FDR_thresh)
CS_0x1,back,rf,EV>0.05,27.8%,Nao,1959,9.2%,11.63,4.49%,"[-9.3%, 19.5%]",0.2755,False,46,-50.00%,Nao,False,Mercado Ilíquido (Spread > 15%) | Reprovado FDR (p > FDR_thresh) | Colapso OOS (ROI Confirmação <= 0%) | Instabilidade entre Modelos
CS_0x0,back,poisson_ridge,EV>0.05,30.2%,Nao,155,11.6%,9.78,4.39%,"[-41.1%, 55.7%]",0.437,False,0,0.00%,Nao,False,Mercado Ilíquido (Spread > 15%) | Reprovado FDR (p > FDR_thresh) | Colapso OOS (ROI Confirmação <= 0%) | Instabilidade entre Modelos
CS_0x1,back,lr,EV>0.05,27.8%,Nao,1966,10.4%,10.68,4.19%,"[-9.4%, 18.1%]",0.273,False,40,40.75%,Nao,False,Mercado Ilíquido (Spread > 15%) | Reprovado FDR (p > FDR_thresh) | Instabilidade entre Modelos
