lado,Data,Liga,Jogo,Metodo,motivo,arquivo
live_sem_ref,2026-04-05,TURKEY 1,Fatih Karagumruk Istanbul x Rizespor,Lay_CS_0x1_B365,nao_veio_na_base,Apostas_20260405.xlsx
live_sem_ref,2026-04-05,TURKEY 1,Fatih Karagumruk Istanbul x Rizespor,Lay_CS_1x0_B365,nao_veio_na_base,Apostas_20260405.xlsx
live_sem_ref,2026-04-05,TURKEY 1,Samsunspor x Konyaspor,Lay_CS_0x1_B365,nao_veio_na_base,Apostas_20260405.xlsx
live_sem_ref,2026-04-05,TURKEY 1,Samsunspor x Konyaspor,Lay_CS_1x0_B365,nao_veio_na_base,Apostas_20260405.xlsx
live_sem_ref,2026-04-05,TURKEY 2,Sivasspor x Erokspor A.S,Lay_CS_0x1_B365,nao_veio_na_base,Apostas_20260405.xlsx
ref_sem_live,2026-04-05,AUSTRIA 1,Hartberg vs Salzburg,Lay_CS_0x1_B365,faltou_no_dia,
live_sem_ref,2026-04-06,ARGENTINA 1,Instituto x Defensa y Justicia,Lay_CS_0x1_B365,nao_veio_na_base,Apostas_20260406.xlsx
live_sem_ref,2026-04-06,ARGENTINA 1,Instituto x Defensa y Justicia,Lay_CS_1x0_B365,nao_veio_na_base,Apostas_20260406.xlsx
live_sem_ref,2026-04-06,AUSTRIA 2,WSC Hertha Wels x SV Austria Salzburg,Lay_CS_0x1_B365,nao_veio_na_base,Apostas_20260406.xlsx
live_sem_ref,2026-04-06,BRAZIL 2,Goias x Criciuma,Lay_CS_0x1_B365,nao_veio_na_base,Apostas_20260406.xlsx
live_sem_ref,2026-04-06,BRAZIL 2,Goias x Criciuma,Lay_CS_1x0_B365,nao_veio_na_base,Apostas_20260406.xlsx
live_sem_ref,2026-04-06,CHILE 1,Huachipato x Univ de Concepcion,Lay_CS_0x1_B365,nao_veio_na_base,Apostas_20260406.xlsx
live_sem_ref,2026-04-06,CHILE 1,Huachipato x Univ de Concepcion,Lay_CS_1x0_B365,nao_veio_na_base,Apostas_20260406.xlsx
live_sem_ref,2026-04-06,DENMARK 1,Vejle x Randers,Lay_CS_0x1_B365,nao_veio_na_base,Apostas_20260406.xlsx
live_sem_ref,2026-04-06,DENMARK 1,Vejle x Randers,Lay_CS_1x0_B365,nao_veio_na_base,Apostas_20260406.xlsx
live_sem_ref,2026-04-06,DENMARK 1,Viborg x AGF,Lay_CS_0x1_B365,nao_veio_na_base,Apostas_20260406.xlsx
