Data_Arquivo,Horario_Entrada,Liga,Jogo,Metodo,Fonte_Dados,Odd_Exec,Responsabilidade_Sugerida_R$,Resultado_1_0,Placar_FT,Match_Tipo,Swap,Matched,Mes_Ref,Odd_Base,1/0,PnL_Linha,Lucro_Ciclo,Resets_Teto_Acum,__odd_signal,__result,__odd_exec,__liquidity,__date,Status_Execucao,Skip_Reason,Lucro_Acumulado,Base_Atual,Run_Atual,Level_Profit_Atual,Stake_Multiplier,Stake_Phase
2025-10-24,16:00,ENGLAND 2,Preston vs Sheffield Utd,Lay_CS_0x1_B365,historico,8.03,437.5,1.0,3x2,alias_exact,False,True,2025-10,8.03,1.0,66.50071123755335,15500.160262061883,1,8.03,1.0,8.03,,2025-10-24,EXECUTED,,6993.89517599486,500.0,500.0,6993.89517599486,1.0,Sem_Rampa
2025-10-25,10:00,ITALY 1,Udinese vs Lecce,Lay_CS_1x0_B365,historico,6.03,250.0,1.0,3x2,alias_exact,False,True,2025-10,6.03,1.0,92.94234592445328,15710.76788234304,1,6.03,1.0,6.03,,2025-10-25,EXECUTED,,7086.837521919314,500.0,500.0,7086.837521919314,1.0,Sem_Rampa
2025-10-26,07:30,CHINA 1,Qingdao West Coast vs Chengdu Rongcheng,Lay_CS_0x1_B365,historico,9.53,312.5,1.0,2x2,alias_exact,False,True,2025-10,9.53,1.0,54.80656506447832,15858.045075189128,1,9.53,1.0,9.53,,2025-10-26,EXECUTED,,7141.6440869837925,500.0,500.0,7141.6440869837925,1.0,Sem_Rampa
2025-10-26,08:00,SPAIN 1,Marbella vs FC Cartagena SAD,Lay_CS_0x1_B365,historico,8.53,250.0,1.0,0x0,alias_exact,False,True,2025-10,8.53,1.0,62.08499335989377,16043.168399264585,1,8.53,1.0,8.53,,2025-10-26,EXECUTED,,7203.729080343686,500.0,500.0,7203.729080343686,1.0,Sem_Rampa
2025-10-26,09:30,GERMANY 2,Braunschweig vs Hannover,Lay_CS_0x1_B365,historico,8.53,375.0,1.0,0x3,alias_exact,False,True,2025-10,8.53,1.0,62.08499335989377,16251.278484032016,1,8.53,1.0,8.53,,2025-10-26,EXECUTED,,7265.81407370358,500.0,500.0,7265.81407370358,1.0,Sem_Rampa
2025-10-26,11:00,ITALY 1,Verona vs Cagliari,Lay_CS_1x0_B365,historico,6.03,500.0,1.0,2x2,alias_exact,False,True,2025-10,6.03,1.0,92.94234592445328,16601.50748354619,1,6.03,1.0,6.03,,2025-10-26,EXECUTED,,7358.756419628034,500.0,500.0,7358.756419628034,1.0,Sem_Rampa
2025-10-26,12:00,SPAIN 1,Unionistas vs Lugo,Lay_CS_0x1_B365,historico,8.53,437.5,1.0,0x0,alias_exact,False,True,2025-10,8.53,1.0,62.08499335989377,16725.677470265975,1,8.53,1.0,8.53,,2025-10-26,EXECUTED,,7420.8414129879275,500.0,500.0,7420.8414129879275,1.0,Sem_Rampa
2025-10-27,12:30,ROMANIA 1,FC Botosani vs FC Hermannstadt,Lay_CS_0x1_B365,historico,10.03,312.5,1.0,2x0,alias_exact,False,True,2025-10,10.03,1.0,51.7718715393134,15705.051226624812,1,10.03,1.0,10.03,,2025-10-27,EXECUTED,,7472.6132845272405,500.0,500.0,7472.6132845272405,1.0,Sem_Rampa
2025-10-27,15:00,DENMARK 1,Odense vs Brondby,Lay_CS_0x1_B365,historico,10.03,375.0,1.0,1x4,alias_exact,False,True,2025-10,10.03,1.0,51.7718715393134,15819.316276434172,1,10.03,1.0,10.03,,2025-10-27,EXECUTED,,7524.3851560665535,500.0,500.0,7524.3851560665535,1.0,Sem_Rampa
2025-10-27,17:00,SPAIN 1,Betis vs Atl. Madrid,Lay_CS_0x1_B365,historico,8.53,437.5,1.0,0x2,alias_exact,False,True,2025-10,8.53,1.0,62.08499335989377,15970.531578074317,1,8.53,1.0,8.53,,2025-10-27,EXECUTED,,7586.470149426447,500.0,500.0,7586.470149426447,1.0,Sem_Rampa
2025-10-28,16:30,ITALY 2,Pescara vs Avellino,Lay_CS_0x1_B365,historico,8.03,250.0,1.0,1x1,alias_exact,False,True,2025-10,8.03,1.0,66.50071123755335,16152.61373004925,1,8.03,1.0,8.03,,2025-10-28,EXECUTED,,7652.970860664001,500.0,500.0,7652.970860664001,1.0,Sem_Rampa
2025-10-29,14:30,ITALY 1,AS Roma vs Parma,Lay_CS_1x0_B365,historico,5.53,250.0,1.0,2x1,alias_exact,False,True,2025-10,5.53,1.0,103.2008830022075,14807.9092495506,1,5.53,1.0,5.53,,2025-10-29,EXECUTED,,7756.171743666208,500.0,500.0,7756.171743666208,1.0,Sem_Rampa
